,Player,FG-FGA,3P-3PA,FT-FTA,Off,Def,Tot,PF,TP,A,TO,Blk,Stl,Min,Date,Event
22,Jadan Baugh,0-2,0-1,3-4,0,0,0,0,3,1,0,0,0,9,04/10/2022,EYBL Session 1 (Orlando)
0,Amier Ali,5-17,5-10,0-0,3,7,10,0,15,0,2,0,1,30,04/09/2022,EYBL Session 1 (Orlando)
1,J. Begg,0-1,0-1,0-0,0,1,1,0,0,1,1,0,0,5,04/09/2022,EYBL Session 1 (Orlando)
2,Orlando Horton,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,04/09/2022,EYBL Session 1 (Orlando)
3,Chidi Chiakwela,0-0,0-0,1-2,0,0,0,2,1,0,0,0,0,8,04/09/2022,EYBL Session 1 (Orlando)
4,Jace Posey,3-7,0-1,3-4,2,2,4,1,9,1,1,2,2,22,04/09/2022,EYBL Session 1 (Orlando)
5,Joseph Tugler,5-11,1-2,0-4,6,6,12,3,11,0,1,1,1,32,04/09/2022,EYBL Session 1 (Orlando)
6,Malik Presley,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,04/09/2022,EYBL Session 1 (Orlando)
7,Wyatt Boeker,1-4,0-0,0-0,2,1,3,2,2,0,3,0,1,23,04/09/2022,EYBL Session 1 (Orlando)
8,Kendrick De,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,04/09/2022,EYBL Session 1 (Orlando)
9,D. Ugwugchu,5-5,2-2,0-0,1,3,4,0,12,1,0,0,0,15,04/09/2022,EYBL Session 1 (Orlando)
10,Jaland Lowe,5-12,0-1,0-1,3,1,4,2,10,5,1,0,1,28,04/09/2022,EYBL Session 1 (Orlando)
11,John Kinziger,2-9,1-5,1-3,0,4,4,1,6,4,1,0,0,29,04/09/2022,EYBL Session 1 (Orlando)
12,Austin villarreal,0-0,0-0,0-0,0,1,1,1,0,0,1,0,0,6,04/09/2022,EYBL Session 1 (Orlando)
13,Austin Herro,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,04/09/2022,EYBL Session 1 (Orlando)
14,Colin Hardrick,3-13,0-5,0-0,3,4,7,2,6,2,3,3,2,31,04/09/2022,EYBL Session 1 (Orlando)
15,Milan Momcilovic,10-18,6-8,5-8,3,4,7,1,31,3,0,3,1,32,04/09/2022,EYBL Session 1 (Orlando)
16,Riley Brooks,0-2,0-1,0-0,0,0,0,1,0,1,1,0,0,18,04/09/2022,EYBL Session 1 (Orlando)
17,Jace Gilbert,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,4,04/09/2022,EYBL Session 1 (Orlando)
18,Jeremy Lorenz,1-6,0-3,0-0,2,2,4,3,2,0,2,2,2,22,04/09/2022,EYBL Session 1 (Orlando)
19,Cormac Wrecke,4-6,0-1,5-6,0,4,4,0,13,1,3,0,1,21,04/09/2022,EYBL Session 1 (Orlando)
20,Dino Cook,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,04/09/2022,EYBL Session 1 (Orlando)
0,Tahjavion Hurndon,0-3,0-2,1-2,0,0,0,0,1,0,0,0,1,12,04/08/2022,EYBL Session 1 (Orlando)
1,Cedric Dixon,2-5,2-5,0-0,0,0,0,1,6,0,1,0,0,13,04/08/2022,EYBL Session 1 (Orlando)
2,Braeden Lloyd,1-1,0-0,0-0,1,0,1,1,2,0,1,0,0,10,04/08/2022,EYBL Session 1 (Orlando)
3,Dalen Fuller,3-5,1-2,2-2,0,4,4,3,9,1,0,0,0,13,04/08/2022,EYBL Session 1 (Orlando)
4,Darian Grant,4-5,1-1,1-2,0,3,3,1,10,1,0,0,0,22,04/08/2022,EYBL Session 1 (Orlando)
5,Dayton Forsythe,2-3,1-1,0-0,0,0,0,3,5,1,1,0,0,26,04/08/2022,EYBL Session 1 (Orlando)
6,Dylan Warlick,6-6,1-1,4-6,1,7,8,5,17,4,2,1,1,29,04/08/2022,EYBL Session 1 (Orlando)
7,Reid Cason,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,04/08/2022,EYBL Session 1 (Orlando)
8,Erik Madrid,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,2,04/08/2022,EYBL Session 1 (Orlando)
9,Antonio Barrett,2-5,1-3,3-4,0,2,2,3,8,2,0,0,2,32,04/08/2022,EYBL Session 1 (Orlando)
10,Ryder Elisaldez,5-5,1-1,0-0,0,1,1,1,11,2,0,0,0,16,04/08/2022,EYBL Session 1 (Orlando)
11,Anthony Gilkes,4-5,1-2,2-3,0,3,3,1,11,0,1,1,0,24,04/08/2022,EYBL Session 1 (Orlando)
12,Khaman Maker,1-1,0-0,0-0,1,2,3,2,2,1,1,2,0,20,04/08/2022,EYBL Session 1 (Orlando)
13,Josiah Cunningham,5-6,0-0,3-4,0,0,0,3,13,0,2,0,0,17,04/08/2022,EYBL Session 1 (Orlando)
14,Anthony Nwuli,1-1,0-0,0-0,0,0,0,0,2,0,1,0,0,6,04/08/2022,EYBL Session 1 (Orlando)
15,Taj DeGourville,3-5,0-1,2-3,0,6,6,3,8,3,0,0,1,26,04/08/2022,EYBL Session 1 (Orlando)
16,john mobley,5-9,1-5,0-0,0,0,0,4,11,2,0,0,0,20,04/08/2022,EYBL Session 1 (Orlando)
17,Trent Perry,4-6,1-3,4-5,1,0,1,2,13,5,2,0,0,14,04/08/2022,EYBL Session 1 (Orlando)
18,Christopher Nwuli,2-2,0-0,2-3,1,0,1,3,6,2,0,0,0,17,04/08/2022,EYBL Session 1 (Orlando)
0,Trey Autry,7-12,4-8,0-0,0,5,5,0,18,2,1,0,0,25,04/08/2022,EYBL Session 1 (Orlando)
1,Kayvaun Mulready,3-6,0-2,0-4,1,6,7,1,6,2,4,0,3,20,04/08/2022,EYBL Session 1 (Orlando)
2,Miles Rose,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,5,04/08/2022,EYBL Session 1 (Orlando)
3,Trevor Mullin,0-4,0-1,0-0,0,4,4,1,0,6,2,0,1,27,04/08/2022,EYBL Session 1 (Orlando)
4,Marquis Hamby,0-1,0-0,0-0,0,2,2,1,0,1,0,0,0,7,04/08/2022,EYBL Session 1 (Orlando)
5,Trevor Roe,0-1,0-1,0-0,0,1,1,0,0,0,0,1,0,5,04/08/2022,EYBL Session 1 (Orlando)
6,Robert Yalden,6-13,0-3,6-6,2,2,4,0,18,2,2,0,2,29,04/08/2022,EYBL Session 1 (Orlando)
7,Noah Barnett,3-3,0-0,0-0,0,0,0,1,6,0,0,0,0,7,04/08/2022,EYBL Session 1 (Orlando)
8,Elijah Gertrude,1-3,0-0,5-5,1,3,4,3,7,3,3,0,0,28,04/08/2022,EYBL Session 1 (Orlando)
9,Tanner Tedesco,0-1,0-1,0-0,0,1,1,0,0,0,1,0,0,4,04/08/2022,EYBL Session 1 (Orlando)
10,Peyton Smith,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,2,04/08/2022,EYBL Session 1 (Orlando)
11,kwame evans,3-10,1-4,0-2,3,7,10,4,7,1,6,0,2,21,04/08/2022,EYBL Session 1 (Orlando)
12,Shawn Simmons,2-7,0-0,0-0,1,3,4,2,4,0,1,1,0,17,04/08/2022,EYBL Session 1 (Orlando)
13,Carlton Carrington,2-8,1-3,0-0,1,1,2,2,5,2,1,0,0,21,04/08/2022,EYBL Session 1 (Orlando)
14,Callum Crossman,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,04/08/2022,EYBL Session 1 (Orlando)
15,Tyson Commander,1-5,0-3,0-0,4,2,6,0,2,1,1,0,1,21,04/08/2022,EYBL Session 1 (Orlando)
16,Ralph Martino,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,04/08/2022,EYBL Session 1 (Orlando)
17,David Solomon,0-0,0-0,0-2,1,0,1,0,0,1,0,0,0,8,04/08/2022,EYBL Session 1 (Orlando)
18,Marcus Banks,1-1,0-0,0-0,0,0,0,1,2,0,0,0,0,0,04/08/2022,EYBL Session 1 (Orlando)
19,Jayden Harris,1-3,0-2,0-0,0,0,0,0,2,0,2,0,1,11,04/08/2022,EYBL Session 1 (Orlando)
20,Delamortay Jones,2-4,0-0,2-3,1,3,4,2,6,1,2,0,0,9,04/08/2022,EYBL Session 1 (Orlando)
21,Amani Hansberry,8-15,0-2,0-0,4,2,6,1,16,2,1,1,3,24,04/08/2022,EYBL Session 1 (Orlando)
22,Raymond Watts,0-1,0-0,0-0,1,0,1,0,0,1,0,0,1,6,04/08/2022,EYBL Session 1 (Orlando)
