LINEUPS,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
".S. Curry, .D. Green, .K. Looney, .D. Lee, .J. Kuminga",GSW,2,9,15,6,12,50.0,2,6,33.3,1,2,50.0,0,9,9,3,5,3,1,0,4,1,2
".S. Curry, .D. Green, .A. Wiggins, .K. Looney, .C. Chiozza",GSW,2,9,20,8,21,38.1,4,10,40.0,0,0,0.0,6,7,13,7,1,2,0,2,2,2,7
".A. Iguodala, .N. Bjelica, .O. Porter Jr., .J. Poole, .M. Moody",GSW,2,8,17,6,16,37.5,3,9,33.3,2,2,100,1,9,10,4,1,3,2,2,3,2,10
".G. Payton II, .D. Lee, .J. Toscano-Anderson, .J. Poole, .J. Kuminga",GSW,2,8,25,9,13,69.2,3,7,42.9,4,4,100,0,5,5,5,0,0,0,0,3,3,2
".S. Curry, .N. Bjelica, .D. Green, .A. Wiggins, .D. Lee",GSW,2,8,18,6,15,40.0,2,6,33.3,4,6,66.7,2,6,8,5,1,0,0,0,1,5,2
".K. Thompson, .O. Porter Jr., .D. Lee, .J. Poole, .J. Kuminga",GSW,2,7,19,6,14,42.9,2,4,50.0,5,6,83.3,2,9,11,3,1,0,2,1,0,3,5
".S. Curry, .K. Thompson, .J. Toscano-Anderson, .J. Kuminga, .M. Moody",GSW,2,7,16,6,9,66.7,1,4,25.0,3,3,100,0,4,4,5,4,0,1,0,3,2,-5
".A. Wiggins, .G. Payton II, .D. Lee, .J. Toscano-Anderson, .J. Poole",GSW,2,7,15,6,12,50.0,3,8,37.5,0,0,0.0,1,7,8,2,2,2,0,0,2,0,5
".N. Bjelica, .K. Thompson, .O. Porter Jr., .A. Wiggins, .J. Poole",GSW,2,7,15,4,10,40.0,2,5,40.0,5,6,83.3,2,4,6,2,1,1,2,0,6,4,-4
".A. Iguodala, .S. Curry, .D. Green, .O. Porter Jr., .D. Lee",GSW,2,7,21,9,12,75.0,3,6,50.0,0,0,0.0,0,5,5,8,1,1,1,0,1,1,11
