,Player,FG-FGA,3P-3PA,FT-FTA,Off,Def,Tot,PF,TP,A,TO,Blk,Stl,Min,Date,Event
0,Jalil Bethea,10-13,7-10,6-6,0,4,4,2,33,4,1,0,1,31,07/18/2022,16U Peach Jam
1,Robert Wright,6-12,1-2,5-12,0,3,3,5,18,5,6,0,1,30,07/18/2022,16U Peach Jam
2,Tyler Iwanonkiw,0-1,0-0,0-0,0,0,0,1,0,1,0,0,0,11,07/18/2022,16U Peach Jam
3,Amir Williams,2-4,0-2,0-0,0,1,1,3,4,1,1,0,0,19,07/18/2022,16U Peach Jam
4,Thomas Sorber,6-8,0-0,2-3,2,5,7,5,14,1,0,0,2,20,07/18/2022,16U Peach Jam
5,Luke Bevilacqua,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,07/18/2022,16U Peach Jam
6,Aasim Burton,0-2,0-0,2-4,1,0,1,0,2,0,0,2,1,11,07/18/2022,16U Peach Jam
7,Makye Taylor,1-4,1-2,0-0,2,2,4,5,3,1,1,0,1,20,07/18/2022,16U Peach Jam
8,Nick Coval,3-9,0-3,0-0,1,3,4,1,6,2,0,0,2,32,07/18/2022,16U Peach Jam
9,Aaron Rowe,8-14,2-3,3-4,0,5,5,5,21,5,2,0,2,29,07/18/2022,16U Peach Jam
10,RChaun King,3-7,0-0,6-11,9,3,12,0,12,0,1,0,0,27,07/18/2022,16U Peach Jam
11,Billy Richmond,2-4,0-0,2-2,1,4,5,3,6,3,3,1,2,25,07/18/2022,16U Peach Jam
12,Malaki Brooks,0-2,0-2,0-0,0,0,0,1,0,0,1,0,0,6,07/18/2022,16U Peach Jam
13,Alijah Curry,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,07/18/2022,16U Peach Jam
14,Trashaun Combs,0-4,0-1,0-0,1,2,3,2,0,1,0,1,2,18,07/18/2022,16U Peach Jam
15,Da'Ron Hall,0-1,0-0,0-1,0,3,3,0,0,0,0,0,0,5,07/18/2022,16U Peach Jam
16,Curtis Givens,8-16,5-7,5-8,0,1,1,4,26,4,5,0,1,23,07/18/2022,16U Peach Jam
17,Iziah Purvey,5-6,0-0,0-2,3,4,7,1,10,2,0,0,0,16,07/18/2022,16U Peach Jam
18,Ethan Lathan,2-2,0-0,0-0,1,4,5,5,4,0,1,0,0,22,07/18/2022,16U Peach Jam
19,Julius Thedford,0-1,0-1,2-2,0,0,0,4,2,0,1,1,0,4,07/18/2022,16U Peach Jam
20,Marco Smith,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,07/18/2022,16U Peach Jam
0,Karl Windham,0-1,0-1,0-0,0,0,0,1,0,2,1,0,1,17,07/19/2022,16U Peach Jam
1,Morez Johnson,6-9,0-0,5-6,3,12,15,3,17,2,5,2,0,29,07/19/2022,16U Peach Jam
2,James Brown,5-8,0-1,3-7,2,4,6,1,13,0,2,0,1,26,07/19/2022,16U Peach Jam
3,Carlos Harris,4-8,1-1,3-5,1,4,5,3,12,4,3,1,3,33,07/19/2022,16U Peach Jam
4,Nojus Indrusaitis,3-7,2-3,4-4,1,4,5,1,12,2,2,0,2,28,07/19/2022,16U Peach Jam
5,William Gonzalez,0-2,0-2,0-0,0,0,0,1,0,0,1,0,0,6,07/19/2022,16U Peach Jam
6,Lee Marks,1-2,0-0,0-0,0,2,2,1,2,0,1,0,0,10,07/19/2022,16U Peach Jam
7,Shaheed Solebo,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,07/19/2022,16U Peach Jam
8,Luke Williams,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,07/19/2022,16U Peach Jam
9,Isaiah Green,3-8,1-2,1-2,0,2,2,1,8,4,1,0,1,23,07/19/2022,16U Peach Jam
