Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
LaToya Sanders,WAS,34,34,23.6,2.6,5.1,0.506,0,0,,2.6,5.1,0.506,0.506,1,1.1,0.892,1.3,5.5,1.9,0.9,1.4,0.9,2.1,6.1
Allie Quigley,CHI,34,34,28.6,5,10.2,0.493,2.4,5.3,0.442,2.7,4.9,0.548,0.608,1.4,1.6,0.87,0.4,3,2.5,0.8,0.2,1.4,1.8,13.8
Nayo Raincock-Ekunwe,NYL,28,1,13.1,1.5,2.8,0.544,0,0.1,0.333,1.5,2.7,0.553,0.551,0.6,0.9,0.64,1.4,2.8,0.4,0.3,0.1,0.8,1.5,3.7
Danielle Robinson,MIN,34,25,27,4.1,9.3,0.437,0.3,1.2,0.22,3.8,8.1,0.469,0.451,1.7,1.9,0.879,0.6,3.5,3.7,1.2,0.2,2.1,1.8,10.1
Sugar Rodgers,LVA,33,0,11.6,1.2,3.4,0.36,0.9,2.5,0.357,0.3,0.8,0.37,0.495,0.1,0.2,0.6,0.1,1.5,1.2,0.4,0.4,0.8,1.1,3.4
Tierra Ruffin-Pratt,LAS,34,33,25.2,2.1,5.8,0.367,0.7,2.1,0.342,1.4,3.6,0.382,0.431,1,1.2,0.854,0.6,2.4,1.7,0.8,0.6,0.9,2.7,6
Mercedes Russell,SEA,34,30,25.6,3.1,6,0.52,0,0,,3.1,6,0.52,0.52,1.2,1.9,0.646,2.4,6.1,1,1.1,0.5,1,2.5,7.5
Karlie Samuelson,TOT,7,0,12,0.4,2,0.214,0.4,1.7,0.25,0,0.3,0,0.321,0,0,,0.1,0.6,0.7,0.4,0.1,0,1.1,1.3
Katie Lou Samuelson,CHI,20,0,7.7,0.6,1.9,0.316,0.4,1.5,0.276,0.2,0.5,0.444,0.421,0.8,1,0.8,0.2,0.9,0.4,0.3,0.1,0.3,0.8,2.4
Jessica Shepard,MIN,6,0,18.7,1.8,4.8,0.379,0.2,1.2,0.143,1.7,3.7,0.455,0.397,1,1.3,0.75,1.5,5.7,3.5,0.3,0.2,2.5,1.5,4.8
