LINEUPS,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
".S. Curry, .N. Bjelica, .O. Porter Jr., .G. Payton II, .C. Chiozza",GSW,1,3.0,7.0,3.0,5.0,60.0,1.0,3.0,33.3,0.0,0.0,0.0,1.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
".A. Iguodala, .D. Green, .O. Porter Jr., .G. Payton II, .C. Chiozza",GSW,1,2.9,8.0,3.0,6.0,50.0,1.0,4.0,25.0,1.0,1.0,100,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
".A. Iguodala, .S. Curry, .D. Green, .O. Porter Jr., .A. Wiggins",GSW,1,2.9,7.0,3.0,5.0,60.0,1.0,3.0,33.3,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0
".D. Green, .O. Porter Jr., .G. Payton II, .C. Chiozza, .J. Toscano-Anderson",GSW,1,2.9,3.0,1.0,6.0,16.7,1.0,3.0,33.3,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-4.0
".K. Thompson, .D. Green, .O. Porter Jr., .J. Toscano-Anderson, .J. Poole",GSW,1,2.9,2.0,1.0,7.0,14.3,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0,-10.0
".S. Curry, .K. Thompson, .D. Lee, .J. Kuminga, .M. Moody",GSW,1,2.9,10.0,3.0,5.0,60.0,1.0,2.0,50.0,3.0,4.0,75.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
".S. Curry, .O. Porter Jr., .J. Poole, .J. Kuminga, .M. Moody",GSW,1,2.9,5.0,2.0,3.0,66.7,1.0,2.0,50.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
".A. Iguodala, .S. Curry, .O. Porter Jr., .G. Payton II, .J. Toscano-Anderson",GSW,1,2.8,3.0,1.0,2.0,50.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-4.0
".N. Bjelica, .O. Porter Jr., .A. Wiggins, .D. Lee, .J. Poole",GSW,1,2.8,9.0,3.0,4.0,75.0,3.0,4.0,75.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,5.0
".S. Curry, .D. Green, .A. Wiggins, .C. Chiozza, .J. Toscano-Anderson",GSW,1,2.8,5.0,2.0,5.0,40.0,1.0,2.0,50.0,0.0,2.0,0.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,-2.0
".S. Curry, .O. Porter Jr., .A. Wiggins, .G. Payton II, .D. Lee",GSW,1,2.8,2.0,1.0,5.0,20.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0
".G. Payton II, .C. Chiozza, .J. Poole, .J. Kuminga, .M. Moody",GSW,1,2.7,4.0,1.0,5.0,20.0,0.0,3.0,0.0,2.0,2.0,100,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,-3.0
".K. Looney, .D. Lee, .C. Chiozza, .J. Toscano-Anderson, .J. Poole",GSW,1,2.7,5.0,2.0,5.0,40.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0
".K. Thompson, .O. Porter Jr., .K. Looney, .J. Poole, .Q. Weatherspoon",GSW,1,2.7,5.0,2.0,4.0,50.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,-3.0
".O. Porter Jr., .G. Payton II, .D. Lee, .J. Toscano-Anderson, .J. Poole",GSW,1,2.7,4.0,1.0,5.0,20.0,1.0,2.0,50.0,1.0,2.0,50.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,-2.0
".S. Curry, .D. Green, .A. Wiggins, .J. Poole, .J. Kuminga",GSW,1,2.7,12.0,3.0,6.0,50.0,2.0,5.0,40.0,4.0,4.0,100,1.0,3.0,4.0,3.0,0.0,1.0,1.0,0.0,2.0,3.0,7.0
".S. Curry, .K. Thompson, .O. Porter Jr., .D. Lee, .M. Moody",GSW,1,2.7,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,-3.0
".A. Iguodala, .S. Curry, .K. Thompson, .D. Lee, .J. Kuminga",GSW,1,2.6,11.0,4.0,5.0,80.0,3.0,3.0,100,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0
".A. Iguodala, .N. Bjelica, .O. Porter Jr., .A. Wiggins, .J. Poole",GSW,1,2.5,7.0,2.0,5.0,40.0,1.0,3.0,33.3,2.0,2.0,100,1.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
".A. Iguodala, .S. Curry, .K. Looney, .J. Toscano-Anderson, .J. Poole",GSW,1,2.5,4.0,2.0,5.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,4.0,1.0,2.0
".C. Chiozza, .J. Toscano-Anderson, .J. Poole, .J. Kuminga, .M. Moody",GSW,1,2.5,5.0,2.0,4.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,-1.0
".D. Green, .O. Porter Jr., .D. Lee, .J. Toscano-Anderson, .J. Poole",GSW,1,2.5,6.0,2.0,4.0,50.0,0.0,1.0,0.0,2.0,2.0,100,0.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
".D. Lee, .C. Chiozza, .J. Toscano-Anderson, .Q. Weatherspoon, .M. Moody",GSW,1,2.5,3.0,1.0,4.0,25.0,0.0,2.0,0.0,1.0,2.0,50.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-5.0
".K. Looney, .D. Lee, .J. Toscano-Anderson, .J. Kuminga, .J. Dowtin",GSW,1,2.5,7.0,2.0,3.0,66.7,1.0,1.0,100,2.0,2.0,100,0.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0
