PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,FP
Draymond Green,GSW,GSW vs. LAL,05/02/2023,L,34,6,3,9,33.3,0,1,0.0,0,0,-,1,3,4,7,1,3,0,4,-8,33.3
JaMychal Green,GSW,GSW vs. LAL,05/02/2023,L,8,6,2,4,50.0,2,4,50.0,0,0,-,0,0,0,0,0,0,0,1,-5,6.0
Andrew Wiggins,GSW,GSW vs. LAL,05/02/2023,L,34,15,6,14,42.9,1,5,20.0,2,2,100,3,3,6,0,0,0,2,3,-2,20.2
D'Angelo Russell,LAL,LAL @ GSW,05/02/2023,W,33,19,9,19,47.4,1,5,20.0,0,1,0.0,0,3,3,6,1,1,1,1,1,36.6
Gary Payton II,GSW,GSW vs. LAL,05/02/2023,L,12,2,1,3,33.3,0,2,0.0,0,0,-,2,1,3,2,0,0,0,1,-6,8.6
Troy Brown Jr.,LAL,LAL @ GSW,05/02/2023,W,12,3,1,2,50.0,1,1,100,0,0,-,0,0,0,0,0,0,0,1,4,3.0
Donte DiVincenzo,GSW,GSW vs. LAL,05/02/2023,L,12,0,0,1,0.0,0,1,0.0,0,0,-,0,3,3,2,2,0,0,1,-7,12.6
Jarred Vanderbilt,LAL,LAL @ GSW,05/02/2023,W,26,8,2,7,28.6,1,3,33.3,3,4,75.0,3,3,6,2,2,2,1,4,8,29.2
Rui Hachimura,LAL,LAL @ GSW,05/02/2023,W,11,6,2,2,100,0,0,-,2,2,100,1,0,1,1,0,0,1,0,2,7.7
Wenyen Gabriel,LAL,LAL @ GSW,05/02/2023,W,4,0,0,0,-,0,0,-,0,0,-,1,1,2,0,0,0,0,0,4,2.4
Moses Moody,GSW,GSW vs. LAL,05/02/2023,L,6,0,0,0,-,0,0,-,0,0,-,1,0,1,1,0,0,0,0,-2,2.7
LeBron James,LAL,LAL @ GSW,05/02/2023,W,40,22,9,24,37.5,1,8,12.5,3,4,75.0,2,9,11,4,0,3,4,0,1,46.2
Stephen Curry,GSW,GSW vs. LAL,05/02/2023,L,38,27,10,24,41.7,6,13,46.2,1,1,100,0,6,6,3,1,0,5,3,-1,36.7
Anthony Davis,LAL,LAL @ GSW,05/02/2023,W,44,30,11,19,57.9,0,2,0.0,8,8,100,4,19,23,5,0,4,1,2,1,76.1
Dennis Schroder,LAL,LAL @ GSW,05/02/2023,W,31,19,5,10,50.0,0,1,0.0,9,10,90.0,0,2,2,3,1,0,0,2,1,28.9
Kevon Looney,GSW,GSW vs. LAL,05/02/2023,L,29,10,5,11,45.5,0,0,-,0,0,-,7,16,23,5,0,0,1,3,-2,44.1
Jordan Poole,GSW,GSW vs. LAL,05/02/2023,L,30,21,7,15,46.7,6,11,54.5,1,1,100,0,0,0,6,1,0,0,5,7,33.0
