Timestamp,Co-Leads [Elliot Chin],Co-Leads [Willow Taylor Chiang Yang],Co-Leads [Andrew Chu],Athletics Representative [Emma Leschly],Athletics Representative [Luke Martinez],Athletics Representative [Callisto Lodwick],Athletics Representative [Noah Van Horne],Spirit and Social Representative [Mira Deb],Spirit and Social Representative [Tyler Huang],Spirit and Social Representative [Nicole Kleinknecht],Community Service Learning Representative [Cole Bregman],Community Service Learning Representative [Valerie Braylovskiy],Community Service Learning Representative [Adrienne Park],Student Life Representative [Avery Chen],Do you have any comments or suggestions on the election process (overall or specifically for speeches and voting)?
5/26/2020 12:39:07,1st,2nd,3rd,3rd,2nd,4th,1st,2nd,3rd,1st,1st,2nd,3rd,1st,
5/26/2020 12:39:09,3rd,1st,2nd,1st,3rd,2nd,4th,1st,2nd,3rd,2nd,3rd,1st,1st,
5/26/2020 12:39:09,3rd,1st,2nd,4th,3rd,1st,2nd,1st,3rd,2nd,2nd,3rd,1st,1st,
5/26/2020 12:39:10,2nd,1st,3rd,3rd,1st,2nd,4th,1st,2nd,3rd,1st,3rd,2nd,1st,
5/26/2020 12:39:13,3rd,1st,2nd,1st,3rd,4th,2nd,3rd,1st,2nd,3rd,1st,2nd,1st,
5/26/2020 12:39:14,1st,3rd,2nd,1st,4th,2nd,3rd,2nd,1st,3rd,3rd,1st,2nd,1st,
5/26/2020 12:39:18,1st,3rd,2nd,2nd,3rd,4th,1st,2nd,3rd,1st,3rd,2nd,1st,1st,
5/26/2020 12:39:20,2nd,1st,3rd,1st,2nd,4th,3rd,3rd,1st,2nd,2nd,3rd,1st,1st,
5/26/2020 12:39:20,1st,2nd,3rd,2nd,3rd,4th,1st,3rd,1st,2nd,3rd,1st,2nd,1st,
5/26/2020 12:39:24,2nd,1st,3rd,1st,3rd,4th,2nd,2nd,3rd,1st,3rd,1st,2nd,1st,
5/26/2020 12:39:24,2nd,1st,3rd,2nd,4th,3rd,1st,3rd,2nd,1st,2nd,1st,3rd,1st,
5/26/2020 12:39:24,2nd,3rd,1st,3rd,2nd,4th,1st,2nd,1st,3rd,1st,2nd,3rd,1st,
5/26/2020 12:39:25,3rd,2nd,1st,1st,2nd,4th,3rd,3rd,1st,2nd,3rd,1st,2nd,1st,
5/26/2020 12:39:28,2nd,1st,3rd,1st,3rd,4th,2nd,3rd,2nd,1st,1st,2nd,3rd,1st,
5/26/2020 12:39:28,3rd,1st,2nd,1st,2nd,4th,3rd,1st,3rd,2nd,3rd,2nd,1st,1st,
5/26/2020 12:39:29,2nd,,1st,1st,2nd,4th,3rd,1st,3rd,2nd,2nd,3rd,1st,1st,
5/26/2020 12:39:31,3rd,1st,2nd,2nd,4th,3rd,1st,2nd,1st,3rd,2nd,3rd,1st,1st,
5/26/2020 12:39:33,2nd,1st,3rd,3rd,1st,4th,2nd,1st,3rd,2nd,3rd,2nd,1st,1st,
5/26/2020 12:39:33,2nd,1st,3rd,1st,4th,3rd,2nd,1st,3rd,2nd,3rd,2nd,1st,,
5/26/2020 12:39:34,2nd,1st,3rd,1st,2nd,4th,3rd,3rd,2nd,1st,2nd,1st,3rd,1st,
5/26/2020 12:39:39,1st,2nd,3rd,1st,4th,2nd,3rd,3rd,1st,2nd,2nd,1st,3rd,1st,
5/26/2020 12:39:40,2nd,3rd,1st,1st,3rd,2nd,4th,3rd,2nd,1st,1st,3rd,2nd,1st,
5/26/2020 12:39:40,3rd,1st,2nd,1st,3rd,4th,2nd,1st,3rd,2nd,1st,3rd,2nd,1st,no
5/26/2020 12:39:45,2nd,1st,3rd,1st,4th,3rd,2nd,2nd,1st,3rd,2nd,1st,3rd,,
5/26/2020 12:39:47,3rd,1st,2nd,1st,3rd,2nd,4th,1st,2nd,3rd,2nd,3rd,1st,1st,
5/26/2020 12:39:47,,1st,,,1st,,2nd,2nd,1st,3rd,,1st,,,
5/26/2020 12:39:48,3rd,1st,2nd,2nd,3rd,1st,4th,3rd,1st,2nd,1st,3rd,2nd,,"There were way too many speeches, or atleast they took way too long. People were super repetitive, and I think it would have been better to set like a 45 second/speech time limit, which would've encouraged people to be far more to the point."
5/26/2020 12:39:49,2nd,1st,3rd,2nd,3rd,1st,4th,3rd,2nd,1st,1st,3rd,2nd,1st,
5/26/2020 12:39:50,2nd,1st,3rd,2nd,1st,4th,3rd,3rd,2nd,1st,3rd,1st,2nd,1st,
5/26/2020 12:40:00,3rd,1st,2nd,3rd,2nd,4th,1st,2nd,3rd,1st,3rd,2nd,1st,,
5/26/2020 12:40:04,2nd,1st,3rd,1st,2nd,3rd,4th,3rd,2nd,1st,3rd,1st,2nd,1st,
5/26/2020 12:40:06,1st,2nd,3rd,1st,2nd,4th,3rd,3rd,2nd,1st,2nd,1st,3rd,1st,
5/26/2020 12:40:06,2nd,1st,3rd,2nd,1st,3rd,4th,2nd,1st,3rd,2nd,1st,3rd,1st,
5/26/2020 12:40:08,3rd,1st,2nd,2nd,1st,4th,3rd,2nd,1st,3rd,3rd,2nd,1st,1st,
5/26/2020 12:40:09,1st,2nd,3rd,1st,3rd,,2nd,3rd,1st,2nd,2nd,1st,3rd,1st,
5/26/2020 12:40:11,3rd,1st,2nd,1st,2nd,3rd,4th,1st,3rd,2nd,3rd,2nd,1st,1st,
5/26/2020 12:40:14,2nd,1st,3rd,3rd,2nd,4th,1st,2nd,3rd,1st,1st,3rd,2nd,1st,
5/26/2020 12:40:21,2nd,1st,3rd,1st,2nd,3rd,4th,2nd,3rd,1st,3rd,2nd,1st,1st,
5/26/2020 12:40:27,2nd,1st,3rd,2nd,3rd,4th,1st,2nd,3rd,1st,2nd,3rd,1st,1st,
5/26/2020 12:40:37,3rd,2nd,1st,2nd,3rd,4th,1st,2nd,3rd,1st,1st,3rd,2nd,1st,
5/26/2020 12:40:37,3rd,1st,2nd,3rd,4th,1st,2nd,1st,2nd,3rd,2nd,3rd,1st,1st,N/A
5/26/2020 12:40:48,3rd,1st,2nd,2nd,1st,4th,3rd,1st,3rd,2nd,3rd,1st,2nd,1st,
5/26/2020 12:40:50,3rd,2nd,1st,1st,3rd,4th,2nd,3rd,2nd,,3rd,1st,2nd,1st,I think it was better that the candidates could give their speeches in a video versus live.
5/26/2020 12:40:52,3rd,1st,2nd,,,,,1st,,,,,,1st,
5/26/2020 12:40:52,3rd,2nd,1st,4th,1st,2nd,3rd,1st,3rd,2nd,1st,2nd,3rd,1st,
5/26/2020 12:40:53,3rd,1st,2nd,2nd,1st,4th,3rd,2nd,3rd,1st,3rd,2nd,1st,1st,
5/26/2020 12:40:54,2nd,3rd,1st,1st,2nd,4th,3rd,3rd,2nd,1st,2nd,3rd,1st,1st,none
5/26/2020 12:40:54,3rd,1st,2nd,2nd,,1st,,,,1st,,,,1st,
5/26/2020 12:40:55,1st,2nd,3rd,1st,2nd,4th,3rd,1st,2nd,3rd,2nd,3rd,1st,1st,
5/26/2020 12:40:55,3rd,1st,2nd,3rd,2nd,1st,4th,3rd,2nd,1st,2nd,3rd,1st,1st,
5/26/2020 12:40:57,3rd,1st,2nd,3rd,1st,4th,2nd,2nd,3rd,1st,2nd,3rd,1st,,
5/26/2020 12:40:58,3rd,1st,2nd,3rd,2nd,4th,1st,2nd,3rd,1st,1st,2nd,3rd,1st,
5/26/2020 12:41:04,3rd,2nd,1st,1st,2nd,4th,3rd,2nd,3rd,1st,1st,3rd,2nd,1st,
