PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Obi Toppin,NYK,25,3,2,1,28.1,12,5,13,38.5,1,6,16.7,1,1,100,3,4,7,2,2,4,1,1,36,0,0,5
Victor Oladipo,MIA,30,2,1,1,20.1,12,5,9,55.6,2,2,100,0,2,0.0,0,2,2,1,2,1,1,3,20,0,0,26
Dillon Brooks,MEM,27,3,1,2,26.8,11,4,9,44.4,3,6,50.0,0,0,0.0,1,2,3,0,0,0,0,1,15,0,0,-8
Gabe Vincent,MIA,26,2,2,0,16.6,11,4,6,66.7,3,4,75.0,0,0,0.0,0,0,0,4,2,0,0,3,15,0,0,-1
Jonathan Kuminga,GSW,20,2,1,1,15.2,11,5,9,55.6,0,2,0.0,1,1,100,1,0,1,2,1,2,0,1,20,0,0,3
Deandre Ayton,PHX,24,4,3,1,29.4,10,5,9,55.6,0,0,0.0,0,2,0.0,3,6,9,0,1,0,0,1,20,3,0,8
Seth Curry,BKN,32,3,0,3,23.4,10,3,7,42.9,2,5,40.0,2,3,66.7,0,0,0,2,0,0,0,2,13,0,0,-9
Cedi Osman,CLE,28,4,1,3,32.0,9,3,6,50.0,2,5,40.0,1,2,50.0,0,5,5,2,2,0,0,4,16,0,0,-13
De'Andre Hunter,ATL,25,4,1,3,34.4,9,4,13,30.8,0,6,0.0,1,2,50.0,0,4,4,1,2,1,0,5,16,1,0,6
Eric Gordon,LAC,34,4,1,3,29.9,9,2,7,28.6,1,5,20.0,4,4,100,0,2,2,3,1,0,1,3,18,0,0,7
James Harden,PHI,33,3,3,0,32.8,9,2,10,20.0,2,7,28.6,3,4,75.0,0,3,3,10,4,3,0,1,33,2,0,23
Malcolm Brogdon,BOS,30,4,3,1,23.8,9,4,11,36.4,0,2,0.0,1,2,50.0,3,3,6,4,1,0,0,2,21,0,0,17
Rui Hachimura,LAL,25,4,3,1,33.3,9,4,12,33.3,1,3,33.3,0,0,0.0,1,4,5,3,0,0,0,1,20,0,0,13
Xavier Tillman,MEM,24,4,1,3,32.3,9,3,5,60.0,0,0,0.0,3,4,75.0,3,6,9,3,0,1,2,3,33,1,0,0
Aaron Gordon,DEN,27,4,3,1,29.6,8,3,6,50.0,0,0,0.0,2,2,100,4,2,6,5,0,0,1,5,26,1,0,19
Christian Braun,DEN,22,3,2,1,15.3,8,4,4,100,0,0,0.0,0,0,0.0,0,1,1,1,1,0,0,2,10,0,0,0
Donte DiVincenzo,GSW,26,3,2,1,14.7,8,2,5,40.0,2,4,50.0,2,2,100,2,2,4,4,1,2,0,1,24,0,0,5
Jrue Holiday,MIL,32,4,1,3,29.2,8,3,13,23.1,2,7,28.6,0,1,0.0,2,0,2,6,4,1,0,3,18,2,0,-23
Julius Randle,NYK,28,3,2,1,19.2,8,3,7,42.9,1,3,33.3,1,1,100,1,0,1,1,3,1,0,2,11,1,0,6
Keegan Murray,SAC,22,2,0,2,14.7,8,3,8,37.5,2,5,40.0,0,0,0.0,2,3,5,0,0,1,0,3,17,0,0,16
Robert Williams III,BOS,25,4,3,1,18.1,8,4,4,100,0,0,0.0,0,0,0.0,2,4,6,2,0,1,1,3,24,1,0,-6
