Timestamp,What grade will you be in next fall?,10th Grade Representative  [Luca Lit],10th Grade Representative  [Elianna Kondylis],10th Grade Representative  [Lucie Lin],10th Grade Representative  [Colin Cham],11th Grade Representative [Cate Rose],11th Grade Representative [Yash Narayan],12th Grade Representative [Bayan Shimizu],12th Grade Representative [Alex Chen],12th Grade Representative [Alexander Rubenstein],12th Grade Representative [Amanda Wang],Arts Representative [Eli Smirin],Arts Representative [Matthew Sakiyama],Arts Representative [Tomo Greenberg],Arts Representative [Alyssa Liao],Campus Steward [Anahita Asudani],Campus Steward [Stephanie Liu],Campus Steward [Caroline Phipps],Campus Steward [Maya Avida],Equity and Inclusion Representative  [Fiona Tan],Equity and Inclusion Representative  [Maya Bodnick]
5/21/2020 12:32:04,10th,1st,2nd,4th,3rd,,,,,,,1st,4th,3rd,2nd,2nd,4th,1st,3rd,1st,2nd
5/21/2020 12:32:04,12th,,,,,,,3rd,4th,2nd,1st,4th,2nd,1st,3rd,4th,2nd,1st,3rd,1st,2nd
5/21/2020 12:32:04,11th,,,,,1st,,,,,,3rd,2nd,1st,4th,3rd,2nd,1st,4th,1st,
5/21/2020 12:32:07,10th,1st,4th,2nd,3rd,,,,,,,2nd,3rd,1st,4th,2nd,1st,3rd,4th,1st,2nd
5/21/2020 12:32:08,10th,1st,4th,2nd,3rd,,,,,,,1st,2nd,3rd,4th,2nd,1st,4th,3rd,1st,2nd
5/21/2020 12:32:10,10th,2nd,4th,3rd,1st,,,,,,,2nd,3rd,1st,4th,1st,4th,3rd,2nd,2nd,1st
5/21/2020 12:32:13,10th,1st,3rd,2nd,4th,,,,,,,2nd,3rd,1st,4th,1st,2nd,3rd,4th,1st,2nd
5/21/2020 12:32:14,10th,1st,4th,2nd,3rd,,,,,,,4th,3rd,2nd,1st,4th,2nd,3rd,1st,2nd,1st
5/21/2020 12:32:16,10th,2nd,3rd,4th,1st,,,,,,,1st,2nd,3rd,4th,2nd,1st,4th,3rd,1st,2nd
5/21/2020 12:32:18,10th,1st,3rd,4th,2nd,,,,,,,3rd,4th,1st,2nd,3rd,2nd,4th,1st,1st,2nd
5/21/2020 12:32:19,10th,2nd,4th,1st,3rd,,,,,,,2nd,3rd,4th,1st,3rd,2nd,4th,1st,2nd,1st
5/21/2020 12:32:20,10th,1st,3rd,2nd,4th,,,,,,,2nd,3rd,1st,4th,1st,2nd,4th,3rd,2nd,1st
5/21/2020 12:32:21,10th,1st,4th,2nd,3rd,,,,,,,1st,2nd,3rd,4th,4th,1st,2nd,3rd,1st,2nd
5/21/2020 12:32:23,10th,3rd,2nd,1st,4th,,,,,,,1st,2nd,3rd,4th,4th,1st,2nd,3rd,2nd,1st
5/21/2020 12:32:31,10th,1st,4th,3rd,2nd,,,,,,,2nd,3rd,4th,1st,2nd,4th,1st,3rd,1st,2nd
5/21/2020 12:32:32,10th,1st,3rd,2nd,4th,,,,,,,4th,1st,3rd,2nd,4th,2nd,1st,3rd,1st,2nd
5/21/2020 12:32:37,10th,3rd,2nd,1st,4th,,,,,,,2nd,4th,3rd,1st,4th,1st,2nd,3rd,2nd,1st
5/21/2020 12:32:37,11th,,,,,1st,2nd,,,,,1st,2nd,3rd,4th,4th,3rd,1st,2nd,2nd,1st
5/21/2020 12:32:38,10th,4th,3rd,2nd,1st,,,,,,,2nd,1st,4th,3rd,1st,2nd,4th,3rd,1st,2nd
5/21/2020 12:32:39,10th,3rd,4th,2nd,1st,,,,,,,2nd,1st,4th,3rd,1st,3rd,4th,2nd,1st,2nd
5/21/2020 12:32:39,10th,1st,4th,2nd,3rd,,,,,,,2nd,4th,1st,3rd,3rd,2nd,4th,1st,1st,2nd
5/21/2020 12:32:39,12th,,,,,,,2nd,4th,1st,3rd,4th,3rd,1st,2nd,4th,3rd,1st,2nd,1st,2nd
5/21/2020 12:32:41,10th,1st,2nd,3rd,4th,,,,,,,4th,3rd,1st,2nd,1st,3rd,4th,2nd,2nd,1st
5/21/2020 12:32:45,12th,,,,,,,3rd,2nd,4th,1st,4th,2nd,1st,3rd,3rd,4th,1st,2nd,1st,2nd
5/21/2020 12:32:48,10th,1st,2nd,3rd,4th,,,,,,,3rd,4th,2nd,1st,1st,2nd,4th,3rd,2nd,1st
5/21/2020 12:32:51,10th,1st,3rd,2nd,4th,,,,,,,4th,3rd,2nd,1st,1st,3rd,4th,2nd,2nd,1st
5/21/2020 12:32:52,11th,,,,,2nd,1st,,,,,2nd,3rd,1st,4th,3rd,4th,1st,2nd,1st,2nd
5/21/2020 12:32:54,12th,,,,,,,,3rd,1st,2nd,,2nd,1st,,,,1st,2nd,1st,
5/21/2020 12:32:54,12th,,,,,,,4th,2nd,1st,3rd,2nd,4th,1st,3rd,2nd,3rd,1st,4th,1st,2nd
5/21/2020 12:32:56,12th,,,,,,,4th,2nd,1st,3rd,2nd,3rd,1st,4th,2nd,3rd,1st,4th,1st,2nd
5/21/2020 12:32:58,10th,1st,3rd,4th,2nd,,,,,,,4th,3rd,1st,2nd,,,,,1st,2nd
5/21/2020 12:32:58,10th,2nd,4th,3rd,1st,,,,,,,4th,1st,3rd,2nd,2nd,1st,3rd,4th,1st,2nd
5/21/2020 12:33:00,11th,,,,,1st,2nd,,,,,4th,3rd,1st,2nd,3rd,4th,2nd,1st,1st,2nd
5/21/2020 12:33:03,10th,1st,4th,3rd,2nd,,,,,,,1st,3rd,4th,2nd,4th,3rd,2nd,1st,1st,2nd
5/21/2020 12:33:03,11th,,,,,1st,,,,,,2nd,3rd,1st,,,,1st,,1st,
5/21/2020 12:33:04,12th,,,,,,,2nd,1st,3rd,4th,4th,3rd,2nd,1st,2nd,4th,1st,3rd,1st,2nd
5/21/2020 12:33:07,12th,,,,,,,1st,,,,,,1st,2nd,,2nd,1st,,,
5/21/2020 12:33:08,10th,3rd,4th,2nd,1st,,,,,,,4th,2nd,1st,3rd,4th,3rd,1st,2nd,1st,2nd
5/21/2020 12:33:09,10th,1st,3rd,2nd,4th,,,,,,,3rd,4th,2nd,1st,1st,3rd,4th,2nd,2nd,1st
5/21/2020 12:33:11,10th,2nd,4th,3rd,1st,,,,,,,4th,3rd,2nd,1st,3rd,2nd,4th,1st,2nd,1st
5/21/2020 12:33:11,10th,2nd,3rd,4th,1st,,,,,,,1st,2nd,4th,3rd,4th,1st,3rd,2nd,1st,2nd
5/21/2020 12:33:12,12th,,,,,,,3rd,1st,2nd,4th,4th,1st,3rd,2nd,,,1st,2nd,1st,
5/21/2020 12:33:16,12th,,,,,,,1st,4th,3rd,2nd,4th,2nd,1st,3rd,2nd,4th,3rd,1st,1st,
5/21/2020 12:33:17,11th,,,,,1st,2nd,,,,,1st,,2nd,,,,1st,,2nd,1st
5/21/2020 12:33:19,11th,,,,,1st,2nd,,,,,4th,2nd,1st,3rd,2nd,3rd,1st,4th,2nd,1st
5/21/2020 12:33:19,12th,,,,,,,4th,2nd,1st,3rd,4th,1st,2nd,3rd,2nd,3rd,1st,4th,1st,2nd
5/21/2020 12:33:21,12th,,,,,,,1st,3rd,2nd,4th,4th,3rd,2nd,1st,2nd,1st,3rd,4th,1st,2nd
5/21/2020 12:33:21,12th,,,,,,,4th,2nd,3rd,1st,3rd,2nd,1st,4th,3rd,4th,1st,2nd,2nd,1st
5/21/2020 12:33:22,10th,4th,1st,3rd,2nd,,,,,,,4th,1st,2nd,3rd,4th,1st,3rd,2nd,2nd,1st
5/21/2020 12:33:22,12th,,,,,,,1st,3rd,2nd,4th,4th,2nd,1st,3rd,4th,3rd,2nd,1st,1st,2nd
5/21/2020 12:33:25,10th,2nd,4th,3rd,1st,,,,,,,2nd,4th,3rd,1st,3rd,2nd,4th,1st,1st,
5/21/2020 12:33:27,12th,,,,,,,1st,3rd,4th,2nd,3rd,4th,1st,2nd,4th,3rd,1st,2nd,1st,
5/21/2020 12:33:29,12th,,,,,,,3rd,4th,1st,2nd,4th,2nd,1st,3rd,2nd,3rd,1st,4th,1st,2nd
5/21/2020 12:33:31,12th,,,,,,,4th,2nd,3rd,1st,3rd,2nd,1st,4th,4th,2nd,1st,3rd,1st,2nd
5/21/2020 12:33:36,12th,,,,,,,4th,3rd,2nd,1st,4th,3rd,2nd,1st,4th,3rd,1st,2nd,1st,2nd
5/21/2020 12:33:38,10th,4th,2nd,3rd,1st,,,,,,,4th,3rd,2nd,1st,1st,2nd,3rd,4th,1st,2nd
5/21/2020 12:33:43,11th,,,,,1st,2nd,,,,,1st,4th,2nd,3rd,2nd,1st,4th,3rd,2nd,1st
5/21/2020 12:33:43,12th,,,,,,,4th,2nd,1st,3rd,1st,3rd,2nd,4th,4th,2nd,1st,3rd,1st,2nd
5/21/2020 12:33:43,12th,,,,,,,1st,4th,2nd,3rd,4th,3rd,2nd,1st,3rd,4th,2nd,1st,,
5/21/2020 12:33:46,12th,,,,,,,4th,1st,2nd,3rd,4th,2nd,1st,3rd,2nd,3rd,1st,4th,1st,
5/21/2020 12:33:51,10th,2nd,4th,3rd,1st,,,,,,,3rd,2nd,1st,4th,1st,2nd,4th,3rd,1st,2nd
5/21/2020 12:34:00,10th,2nd,4th,3rd,1st,,,,,,,3rd,2nd,1st,4th,3rd,1st,2nd,4th,1st,2nd
5/21/2020 12:34:00,12th,,,,,,,3rd,4th,2nd,1st,3rd,4th,2nd,1st,1st,2nd,3rd,4th,1st,
5/21/2020 12:34:00,10th,1st,3rd,2nd,4th,,,,,,,2nd,3rd,1st,4th,4th,3rd,2nd,1st,2nd,1st
5/21/2020 12:34:03,10th,1st,4th,3rd,2nd,,,,,,,4th,2nd,1st,3rd,1st,3rd,4th,2nd,2nd,1st
5/21/2020 12:34:08,12th,,,,,,,3rd,2nd,1st,4th,3rd,1st,2nd,4th,2nd,3rd,1st,4th,1st,2nd
5/21/2020 12:34:11,10th,1st,4th,2nd,3rd,,,,,,,4th,3rd,1st,2nd,1st,2nd,3rd,4th,2nd,1st
5/21/2020 12:34:15,12th,,,,,,,4th,3rd,1st,2nd,4th,2nd,1st,3rd,3rd,4th,1st,2nd,1st,2nd
5/21/2020 12:34:22,11th,,,,,2nd,1st,,,,,3rd,1st,2nd,4th,3rd,4th,1st,2nd,2nd,1st
5/21/2020 12:34:26,12th,,,,,,,1st,3rd,2nd,4th,2nd,4th,1st,3rd,3rd,2nd,1st,4th,1st,
5/21/2020 12:34:27,12th,,,,,,,4th,2nd,3rd,1st,3rd,4th,2nd,1st,1st,3rd,4th,2nd,1st,2nd
5/21/2020 12:34:28,12th,,,,,,,3rd,4th,1st,2nd,1st,3rd,2nd,4th,4th,2nd,1st,3rd,1st,2nd
5/21/2020 12:34:30,10th,3rd,4th,1st,2nd,,,,,,,4th,2nd,1st,3rd,2nd,3rd,4th,1st,1st,2nd
5/21/2020 12:34:33,12th,,,,,,,3rd,4th,1st,2nd,3rd,1st,4th,2nd,1st,2nd,3rd,4th,1st,
5/21/2020 12:34:35,12th,,,,,,,4th,3rd,2nd,1st,4th,2nd,1st,3rd,2nd,4th,1st,3rd,1st,2nd
5/21/2020 12:34:39,11th,,,,,1st,2nd,,,,,2nd,4th,1st,3rd,3rd,4th,2nd,1st,2nd,1st
5/21/2020 12:34:40,12th,,,,,,,2nd,3rd,1st,4th,4th,2nd,1st,3rd,2nd,3rd,1st,4th,1st,2nd
5/21/2020 12:34:41,12th,,,,,,,2nd,3rd,1st,4th,4th,2nd,1st,3rd,2nd,3rd,1st,4th,1st,2nd
