,Assister,Scorer,PTS
450,Klay Thompson,Andrew Wiggins,3
451,Jordan Poole,Stephen Curry,2
452,Kevon Looney,Stephen Curry,3
453,Draymond Green,Andrew Wiggins,2
454,Stephen Curry,Draymond Green,3
455,Jordan Poole,Klay Thompson,2
456,Stephen Curry,Draymond Green,2
457,Klay Thompson,JaMychal Green,2
458,Stephen Curry,JaMychal Green,2
459,Anthony Lamb,Jordan Poole,3
460,Andrew Wiggins,Jordan Poole,3
461,Stephen Curry,Klay Thompson,2
462,JaMychal Green,Stephen Curry,2
463,JaMychal Green,Klay Thompson,3
464,Draymond Green,Klay Thompson,2
465,Draymond Green,Stephen Curry,3
466,Stephen Curry,Andrew Wiggins,2
467,Stephen Curry,Klay Thompson,2
468,Klay Thompson,Andrew Wiggins,2
469,Draymond Green,Andrew Wiggins,3
470,Stephen Curry,Klay Thompson,3
471,Kevon Looney,Andrew Wiggins,3
472,Kevon Looney,Klay Thompson,2
473,Stephen Curry,Klay Thompson,3
474,Stephen Curry,Klay Thompson,3
475,Stephen Curry,Draymond Green,2
476,Stephen Curry,Klay Thompson,2
477,Stephen Curry,JaMychal Green,2
478,Anthony Lamb,JaMychal Green,2
479,JaMychal Green,Jordan Poole,2
480,Donte DiVincenzo,JaMychal Green,2
481,Draymond Green,JaMychal Green,2
482,Klay Thompson,Stephen Curry,3
483,Draymond Green,Andrew Wiggins,3
484,Stephen Curry,Klay Thompson,3
485,Stephen Curry,Klay Thompson,3
486,Kevon Looney,Stephen Curry,3
487,Draymond Green,Andrew Wiggins,3
488,Draymond Green,Andrew Wiggins,3
489,Klay Thompson,Andrew Wiggins,3
490,Draymond Green,Klay Thompson,2
491,Kevon Looney,Stephen Curry,3
492,Jordan Poole,Stephen Curry,2
493,Jordan Poole,Stephen Curry,3
494,Stephen Curry,Jordan Poole,2
495,Stephen Curry,Jordan Poole,3
496,Jordan Poole,Stephen Curry,2
497,Stephen Curry,Klay Thompson,3
498,Jordan Poole,Draymond Green,2
499,Draymond Green,Donte DiVincenzo,2
500,Stephen Curry,Donte DiVincenzo,2
501,Kevon Looney,Klay Thompson,3
502,Draymond Green,Andrew Wiggins,2
503,Stephen Curry,Klay Thompson,3
