PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,SEASON
Jon Leuer,MEM,26,6-10,228,Wisconsin,USA,2011,2,40,4.0,1.0,1.3,0.0,-10.0,20.0,30.0,18.2,50.0,0.0,2015
Jonas Jerebko,BOS,28,6-10,231,None,Sweden,2009,2,39,4.0,2.8,3.5,0.3,7.8,6.0,13.2,11.9,34.6,2.2,2015
Jonas Valanciunas,TOR,23,7-0,255,None,Lithuania,2011,1,5,4.0,11.3,9.3,0.5,-7.7,8.0,30.4,19.2,54.2,3.0,2015
Jordan Adams,MEM,20,6-5,209,UCLA,USA,2014,1,22,4.0,1.8,0.3,0.0,37.3,0.0,12.5,21.7,73.5,0.0,2015
Jorge Gutierrez,MIL,26,6-3,195,California,Mexico,Undrafted,Undrafted,Undrafted,1.0,2.0,1.0,1.0,-75.0,0.0,9.1,7.4,50.0,20.0,2015
Josh Smith,HOU,29,6-9,225,None,USA,2004,1,17,17.0,13.5,5.6,2.7,-0.1,6.1,16.0,27.3,50.5,18.9,2015
Jrue Holiday,NOP,25,6-4,205,UCLA,USA,2009,1,17,3.0,6.3,1.0,4.3,-2.6,3.8,1.4,20.2,45.8,38.2,2015
Justin Holiday,GSW,26,6-6,185,Washington,USA,Undrafted,Undrafted,Undrafted,5.0,0.6,0.2,0.2,-16.6,0.0,7.7,14.3,75.0,20.0,2015
Kawhi Leonard,SAS,24,6-7,230,San Diego State,USA,2011,1,15,7.0,20.3,7.4,2.6,-6.1,4.7,15.5,24.5,57.1,12.4,2015
Kelly Olynyk,BOS,24,7-0,238,Gonzaga,Canada,2013,1,13,4.0,4.5,1.3,0.5,-5.8,3.2,6.8,14.4,64.8,5.9,2015
Kendrick Perkins,CLE,30,6-10,270,None,USA,2003,1,27,8.0,1.3,1.1,0.0,-18.3,5.9,19.4,22.4,40.3,0.0,2015
Kent Bazemore,ATL,25,6-5,201,Old Dominion,USA,Undrafted,Undrafted,Undrafted,16.0,5.4,3.3,0.8,-7.2,1.0,14.6,14.5,51.4,7.1,2015
Kevin Love,CLE,26,6-10,243,UCLA,USA,2008,1,5,4.0,14.3,7.0,2.5,15.6,5.9,20.6,23.1,57.7,13.7,2015
Kevin Seraphin,WAS,25,6-10,278,None,France,2010,1,17,6.0,5.5,3.2,0.3,6.7,3.9,18.2,22.6,49.0,4.7,2015
Khris Middleton,MIL,23,6-7,225,Texas A&M,USA,2012,2,39,6.0,15.8,3.7,2.0,-15.6,2.7,6.4,20.7,48.2,10.0,2015
Kirk Hinrich,CHI,34,6-4,190,Kansas,USA,2003,1,7,10.0,2.6,0.5,1.1,-24.0,0.0,4.5,7.4,64.0,15.1,2015
Klay Thompson,GSW,25,6-7,215,Washington State,USA,2011,1,11,21.0,18.6,3.9,2.6,8.6,1.2,9.0,23.3,55.3,11.8,2015
Kosta Koufos,MEM,26,7-0,265,Ohio State,USA,2008,1,23,11.0,3.4,3.5,0.4,-13.1,12.6,15.4,11.6,55.7,4.9,2015
Kostas Papanikolaou,HOU,24,6-8,235,None,Greece,2012,2,48,8.0,0.4,0.3,0.0,-22.9,0.0,7.7,19.2,30.7,0.0,2015
Kris Humphries,WAS,30,6-9,235,Minnesota,USA,2004,1,14,1.0,2.0,3.0,0.0,-42.4,0.0,42.9,8.3,100,0.0,2015
Kyle Korver,ATL,34,6-7,212,Creighton,USA,2003,2,51,14.0,11.1,5.0,2.4,5.3,0.2,12.5,13.4,55.7,9.1,2015
Kyle Lowry,TOR,29,6-0,205,Villanova,USA,2006,1,24,4.0,12.3,5.5,4.8,-9.9,4.8,12.3,25.0,39.6,25.0,2015
Kyrie Irving,CLE,23,6-3,193,Duke,Australia,2011,1,1,13.0,19.0,3.6,3.8,5.9,2.1,7.7,22.6,57.3,18.9,2015
LaMarcus Aldridge,POR,29,6-11,240,Texas-Austin,USA,2006,1,2,5.0,21.8,11.2,1.8,-11.3,9.4,16.3,29.3,42.6,8.3,2015
LeBron James,CLE,30,6-8,250,None,USA,2003,1,1,20.0,30.1,11.3,8.5,4.3,4.2,21.8,36.8,48.7,44.2,2015
Leandro Barbosa,GSW,32,6-3,194,None,Brazil,2003,1,28,21.0,5.0,1.3,0.9,8.2,3.3,8.3,20.5,53.2,12.7,2015
Lester Hudson,LAC,30,6-3,190,Tennessee-Martin,USA,2009,2,58,7.0,2.0,0.1,1.0,3.5,0.0,2.7,19.3,50.0,26.9,2015
Lou Williams,TOR,28,6-1,175,None,USA,2005,2,45,4.0,12.8,1.8,1.3,-16.4,1.8,5.1,27.4,43.3,8.5,2015
Manu Ginobili,SAS,37,6-6,205,None,Argentina,1999,2,57,7.0,8.0,3.4,4.6,-3.1,2.9,14.8,21.9,52.7,40.0,2015
Marc Gasol,MEM,30,7-1,265,None,Spain,2007,2,48,11.0,19.7,10.3,4.5,-3.1,4.5,23.4,26.0,49.6,21.1,2015
Marcin Gortat,WAS,31,6-11,240,None,Poland,2005,2,57,10.0,12.4,8.8,2.2,3.7,8.7,18.3,16.1,64.2,11.8,2015
Marco Belinelli,SAS,29,6-5,210,None,Italy,2007,1,18,7.0,9.3,1.9,1.4,9.6,1.8,8.8,19.0,72.7,15.6,2015
Marcus Smart,BOS,21,6-4,220,Oklahoma State,USA,2014,1,6,4.0,9.8,2.8,1.3,-24.8,5.0,7.9,19.3,54.8,11.6,2015
Markel Brown,BKN,23,6-3,190,Oklahoma State,USA,2014,2,44,2.0,3.0,1.0,0.5,-56.3,12.5,0.0,29.6,51.0,33.3,2015
Marreese Speights,GSW,27,6-10,255,Florida,USA,2008,1,16,10.0,3.7,2.1,0.4,0.1,10.8,22.0,32.7,38.1,11.1,2015
Martell Webster,WAS,28,6-7,230,None,USA,2005,1,6,1.0,2.0,0.0,0.0,-17.8,0.0,0.0,20.0,50.0,0.0,2015
Mason Plumlee,BKN,25,6-11,235,Duke,USA,2013,1,22,6.0,2.0,1.3,0.3,-8.9,4.7,12.5,13.2,55.4,6.5,2015
Matt Barnes,LAC,35,6-7,226,UCLA,USA,2002,2,45,14.0,7.6,5.1,1.6,7.8,3.9,12.0,13.0,49.2,7.3,2015
Matt Bonner,SAS,35,6-10,235,Florida,USA,2003,2,45,7.0,0.9,0.9,0.1,17.4,0.0,14.3,12.4,30.0,4.0,2015
Matthew Dellavedova,CLE,24,6-4,200,St. Mary's,Australia,Undrafted,Undrafted,Undrafted,20.0,7.2,2.1,2.7,3.9,1.9,5.8,16.3,47.6,18.0,2015
Meyers Leonard,POR,23,7-1,245,Illinois,USA,2012,1,11,5.0,7.8,6.6,1.0,12.5,5.1,22.0,10.5,89.1,7.8,2015
Michael Carter-Williams,MIL,23,6-6,190,Syracuse,USA,2013,1,11,6.0,12.2,4.5,4.8,-18.1,0.4,13.5,22.5,43.8,29.0,2015
Mike Conley,MEM,27,6-1,175,Ohio State,USA,2007,1,4,8.0,14.4,1.1,5.0,3.0,0.0,3.8,22.2,53.1,29.4,2015
Mike Dunleavy,CHI,34,6-9,230,Duke,USA,2002,1,3,12.0,10.9,4.0,2.6,8.8,1.8,9.7,12.4,68.0,12.3,2015
Mike Miller,CLE,35,6-8,218,Florida,USA,2000,1,5,9.0,1.0,1.1,0.0,-9.6,0.0,14.9,4.3,90.0,0.0,2015
Mike Muscala,ATL,23,6-11,230,Bucknell,USA,2013,2,44,10.0,4.2,1.8,0.1,-13.1,8.0,9.5,16.7,63.6,2.0,2015
Mike Scott,ATL,26,6-8,237,Virginia,USA,2012,2,43,11.0,4.5,4.2,0.5,-15.6,8.1,16.4,16.2,44.0,5.2,2015
Miles Plumlee,MIL,26,6-11,255,Duke,USA,2012,1,26,1.0,3.0,6.0,1.0,-22.8,12.5,18.8,26.3,16.9,10.0,2015
Mirza Teletovic,BKN,29,6-9,242,None,Bosnia and Herzegovina,Undrafted,Undrafted,Undrafted,3.0,0.0,1.3,0.0,-30.7,0.0,21.1,15.4,0.0,0.0,2015
Monta Ellis,DAL,29,6-3,185,None,USA,2005,2,40,5.0,26.0,3.2,5.2,-0.9,1.9,5.6,27.7,54.3,21.0,2015
