Player,FG%,FGA,3P%,3PA,FT%,ORB,DRB,AST,STL,BLK,TOV,PTS,Hierarchical
Reggie Bullock,0.412,0.365546218487395,0.377,0.4696969696969697,0.859,0.05555555555555555,0.21621621621621623,0.1869158878504673,0.2727272727272727,0.07407407407407407,0.2,0.29745042492917845,1
Trey Burke,0.431,0.365546218487395,0.352,0.20454545454545456,0.831,0.09259259259259259,0.10810810810810811,0.25233644859813087,0.2727272727272727,0.037037037037037035,0.16,0.2861189801699716,1
Alec Burks,0.405,0.2815126050420168,0.363,0.196969696969697,0.823,0.09259259259259259,0.2882882882882883,0.1869158878504673,0.2727272727272727,0.1111111111111111,0.2,0.22662889518413595,1
Deonte Burton,0.402,0.07983193277310925,0.296,0.060606060606060615,0.667,0.018518518518518517,0.07207207207207207,0.028037383177570093,0.09090909090909091,0.1111111111111111,0.06,0.05099150141643059,2
Jimmy Butler,0.462,0.5546218487394958,0.347,0.2272727272727273,0.855,0.3518518518518518,0.3063063063063063,0.3738317757009346,0.8636363636363635,0.2222222222222222,0.3,0.5070821529745041,7
Bruno Caboclo,0.427,0.24789915966386553,0.369,0.2878787878787879,0.84,0.2222222222222222,0.3063063063063063,0.14018691588785048,0.18181818181818182,0.37037037037037035,0.22000000000000003,0.21246458923512748,1
José Calderón,0.375,0.07142857142857142,0.246,0.09090909090909091,0.818,0.037037037037037035,0.0900900900900901,0.21495327102803738,0.13636363636363635,0.037037037037037035,0.13999999999999999,0.04249291784702548,1
Kentavious Caldwell-Pope,0.43,0.35714285714285715,0.347,0.40151515151515155,0.867,0.1111111111111111,0.2072072072072072,0.12149532710280375,0.40909090909090906,0.07407407407407407,0.16,0.30028328611898014,1
Isaiah Canaan,0.39,0.20168067226890754,0.354,0.24242424242424246,0.792,0.037037037037037035,0.15315315315315314,0.2616822429906542,0.22727272727272727,0.037037037037037035,0.24,0.14730878186968838,1
DeMarre Carroll,0.395,0.3319327731092437,0.342,0.34848484848484845,0.76,0.18518518518518517,0.3783783783783784,0.12149532710280375,0.22727272727272727,0.037037037037037035,0.22000000000000003,0.291784702549575,6
Jevon Carter,0.303,0.1680672268907563,0.333,0.196969696969697,0.813,0.07407407407407407,0.11711711711711713,0.16822429906542058,0.3181818181818181,0.1111111111111111,0.16,0.10198300283286119,1
Vince Carter,0.419,0.2310924369747899,0.389,0.31818181818181823,0.712,0.07407407407407407,0.1891891891891892,0.10280373831775702,0.2727272727272727,0.14814814814814814,0.12,0.18696883852691218,1
Wendell Carter,0.485,0.3235294117647059,0.188,0.05303030303030303,0.795,0.37037037037037035,0.45045045045045046,0.16822429906542058,0.2727272727272727,0.48148148148148145,0.3,0.26912181303116145,4
Michael Carter-Williams,0.374,0.15546218487394958,0.263,0.10606060606060606,0.604,0.12962962962962962,0.16216216216216217,0.23364485981308414,0.3181818181818181,0.18518518518518517,0.13999999999999999,0.11331444759206798,1
Alex Caruso,0.445,0.2605042016806723,0.48,0.15151515151515152,0.797,0.14814814814814814,0.17117117117117117,0.28971962616822433,0.45454545454545453,0.14814814814814814,0.33999999999999997,0.2379603399433427,1
Omri Casspi,0.534,0.15966386554621848,0.349,0.09090909090909091,0.672,0.09259259259259259,0.24324324324324326,0.06542056074766354,0.2727272727272727,0.1111111111111111,0.12,0.15580736543909346,1
Willie Cauley-Stein,0.556,0.35294117647058826,0.5,0,0.551,0.40740740740740744,0.5495495495495495,0.22429906542056074,0.5454545454545454,0.2222222222222222,0.2,0.3144475920679886,4
Tyler Cavanaugh,0.3,0.008403361344537818,0.2,0.03787878787878788,1,0.05555555555555555,0.04504504504504505,0.009345794392523366,0,0,0.02,0,1
Tyson Chandler,0.616,0.046218487394957986,0,0,0.586,0.31481481481481477,0.35135135135135137,0.06542056074766354,0.18181818181818182,0.14814814814814814,0.16,0.06515580736543908,1
Wilson Chandler,0.418,0.19747899159663865,0.373,0.23484848484848486,0.72,0.16666666666666666,0.2972972972972973,0.14953271028037385,0.22727272727272727,0.14814814814814814,0.18,0.14730878186968838,1
Marquese Chriss,0.372,0.14705882352941177,0.222,0.12878787878787878,0.711,0.16666666666666666,0.21621621621621623,0.04672897196261683,0.18181818181818182,0.1111111111111111,0.16,0.09631728045325778,1
Gary Clark,0.331,0.09663865546218486,0.297,0.20454545454545456,1,0.09259259259259259,0.16216216216216217,0.03738317757009346,0.18181818181818182,0.18518518518518517,0.02,0.059490084985835676,1
Ian Clark,0.394,0.23949579831932774,0.327,0.25757575757575757,0.892,0.037037037037037035,0.11711711711711713,0.14953271028037385,0.18181818181818182,0.037037037037037035,0.2,0.16713881019830026,1
Jordan Clarkson,0.448,0.5840336134453782,0.324,0.4166666666666667,0.844,0.18518518518518517,0.2072072072072072,0.22429906542056074,0.3181818181818181,0.07407407407407407,0.33999999999999997,0.4532577903682719,6
John Collins,0.56,0.542016806722689,0.348,0.196969696969697,0.763,0.6666666666666666,0.5585585585585586,0.1869158878504673,0.18181818181818182,0.2222222222222222,0.4,0.5297450424929178,4
Zach Collins,0.473,0.18907563025210083,0.331,0.12121212121212123,0.746,0.25925925925925924,0.25225225225225223,0.08411214953271029,0.13636363636363635,0.3333333333333333,0.2,0.16430594900849857,1
Darren Collison,0.467,0.3361344537815126,0.407,0.196969696969697,0.832,0.09259259259259259,0.23423423423423426,0.5607476635514019,0.6363636363636362,0.037037037037037035,0.32,0.2946175637393767,6
Bonzie Colson,0.333,0.17647058823529413,0.238,0.196969696969697,0.889,0.18518518518518517,0.25225225225225223,0.03738317757009346,0.2727272727272727,0.037037037037037035,0.08,0.11614730878186968,1
