,Assister,Scorer,PTS
487,Domantas Sabonis,Davion Mitchell,2
488,Domantas Sabonis,KZ Okpala,2
489,KZ Okpala,Davion Mitchell,2
490,Kevin Huerter,Domantas Sabonis,2
491,Harrison Barnes,Davion Mitchell,2
492,Domantas Sabonis,Harrison Barnes,2
493,Malik Monk,Kevin Huerter,2
494,Domantas Sabonis,Kevin Huerter,2
495,Kevin Huerter,Domantas Sabonis,2
496,Matthew Dellavedova,Terence Davis,3
497,Matthew Dellavedova,Trey Lyles,3
498,Harrison Barnes,Domantas Sabonis,3
499,De'Aaron Fox,Kevin Huerter,2
500,Domantas Sabonis,Kevin Huerter,2
501,Kevin Huerter,Domantas Sabonis,2
502,De'Aaron Fox,Kevin Huerter,2
503,Domantas Sabonis,Keegan Murray,2
504,Davion Mitchell,KZ Okpala,2
505,Domantas Sabonis,Malik Monk,2
506,De'Aaron Fox,Keegan Murray,2
507,Terence Davis,Malik Monk,2
508,De'Aaron Fox,Terence Davis,3
509,Malik Monk,Keegan Murray,2
510,Malik Monk,Chimezie Metu,2
511,Domantas Sabonis,Malik Monk,2
512,Malik Monk,Davion Mitchell,2
513,Domantas Sabonis,Terence Davis,2
514,Davion Mitchell,Domantas Sabonis,2
515,Domantas Sabonis,Malik Monk,2
516,Malik Monk,Domantas Sabonis,2
517,Kevin Huerter,Malik Monk,2
518,Domantas Sabonis,Malik Monk,3
519,Malik Monk,Domantas Sabonis,2
520,Harrison Barnes,Davion Mitchell,3
521,Domantas Sabonis,Harrison Barnes,2
522,Domantas Sabonis,Kevin Huerter,2
523,Malik Monk,Terence Davis,3
524,Malik Monk,Terence Davis,3
525,De'Aaron Fox,Keegan Murray,3
526,Keegan Murray,De'Aaron Fox,3
527,Kevin Huerter,Domantas Sabonis,2
528,Malik Monk,Kevin Huerter,2
529,Domantas Sabonis,Malik Monk,3
530,Domantas Sabonis,Harrison Barnes,3
531,Domantas Sabonis,Keegan Murray,2
532,De'Aaron Fox,Domantas Sabonis,3
533,De'Aaron Fox,Domantas Sabonis,2
534,Domantas Sabonis,Davion Mitchell,3
535,Domantas Sabonis,Harrison Barnes,2
536,Malik Monk,Kevin Huerter,3
537,KZ Okpala,Malik Monk,3
538,Davion Mitchell,Malik Monk,2
539,De'Aaron Fox,Chimezie Metu,2
540,Malik Monk,Keegan Murray,3
541,Chimezie Metu,Terence Davis,3
542,Domantas Sabonis,Kevin Huerter,3
543,Harrison Barnes,Domantas Sabonis,2
544,Domantas Sabonis,Kevin Huerter,2
545,De'Aaron Fox,Harrison Barnes,2
546,De'Aaron Fox,Keegan Murray,3
547,Domantas Sabonis,Keegan Murray,2
548,Harrison Barnes,Domantas Sabonis,2
549,Malik Monk,Terence Davis,3
550,Terence Davis,Kevin Huerter,2
551,De'Aaron Fox,Malik Monk,3
552,Malik Monk,Chimezie Metu,2
553,Terence Davis,Chimezie Metu,2
554,Malik Monk,Harrison Barnes,2
555,Davion Mitchell,Terence Davis,2
556,Malik Monk,Terence Davis,2
557,Alex Len,KZ Okpala,3
558,Harrison Barnes,Domantas Sabonis,2
559,Keegan Murray,Domantas Sabonis,3
560,Domantas Sabonis,Kevin Huerter,2
561,Kevin Huerter,Domantas Sabonis,3
562,Domantas Sabonis,Keegan Murray,2
563,Kevin Huerter,Keegan Murray,2
564,Domantas Sabonis,Harrison Barnes,2
565,Domantas Sabonis,Kevin Huerter,2
566,Domantas Sabonis,Malik Monk,2
567,Davion Mitchell,Malik Monk,3
568,Davion Mitchell,Malik Monk,3
569,Terence Davis,Chimezie Metu,2
570,Terence Davis,KZ Okpala,2
571,Terence Davis,Chimezie Metu,2
572,Davion Mitchell,Malik Monk,2
573,KZ Okpala,Domantas Sabonis,2
574,Kevin Huerter,De'Aaron Fox,3
575,Chimezie Metu,Keegan Murray,2
576,De'Aaron Fox,Domantas Sabonis,2
577,Kevin Huerter,Domantas Sabonis,2
578,De'Aaron Fox,Harrison Barnes,3
579,Harrison Barnes,Davion Mitchell,2
580,Davion Mitchell,Harrison Barnes,2
581,Malik Monk,Kevin Huerter,2
582,Malik Monk,Chimezie Metu,2
583,Chimezie Metu,Malik Monk,3
584,Domantas Sabonis,Keegan Murray,2
585,De'Aaron Fox,Kevin Huerter,3
586,De'Aaron Fox,Keegan Murray,3
