District_Name,County_Name,District_Type,Enrollment_District,AmericanIndian_AlaskaNative,Asian,Black_AfricanAmerican,Filipino,Hispanic_Latino,NativeHawaiian_PacIslander,Two_orMoreRaces,NoneReported,White,Nonwhite,CAASPP-Math,CAASPP-ELA,FederalRevenue,StateRevenue,LocalRevenue,LCFF
ABC Unified (Los Angeles),Los Angeles,Unified School District,20550,0.4,23.9,8.5,11.6,45.9,0.7,2.4,0.5,6,94,54.22,66.23,526,1692,406,8943
Acalanes Union High (Contra Costa),Contra Costa,High School District,5662,0.1,13.7,1.7,2.1,9.9,0.2,6.8,0.4,64.9,35.1,68.73,82.01,240,1088,3262,9431
Ackerman Charter (Placer),Placer,Elementary School District,607,0.5,1.2,1.2,0.2,13,0,5.6,1.3,77.1,22.9,60.11,71.09,160,857,394,7973
Acton-Agua Dulce Unified (Los Angeles),Los Angeles,Unified School District,14855,0.4,3.3,6.6,1.2,38.6,0.2,6.1,3.2,40.4,59.6,37.22,49.57,735,994,6584,9079
Adelanto Elementary (San Bernardino),San Bernardino,Elementary School District,8707,0.4,0.8,20,0.6,64.5,0.8,3.1,2.2,7.7,92.3,15.43,26.58,752,1256,274,9951
Alameda County Office of Education (Alameda),Alameda,County Office of Education (COE),3105,0.6,9,17.7,0.9,53.2,0.9,8.8,0.3,8.5,91.5,0,4.08,N/A,N/A,N/A,N/A
Alameda Unified (Alameda),Alameda,Unified School District,11299,0.2,26.3,7.6,6.6,16.8,0.7,10.9,2,28.9,71.1,60.3,68.11,435,1128,2204,8547
Albany City Unified (Alameda),Alameda,Unified School District,3658,0.1,27.5,2.9,1.3,16.6,0.2,13.8,4.6,33.1,66.9,69.69,75.99,258,1879,2543,8444
Alexander Valley Union Elementary (Sonoma),Sonoma,Elementary School District,116,0,0,0.9,0,36.2,0,0.9,0,62.1,37.9,52.54,62.71,494,1198,2722,16459
Alhambra Unified (Los Angeles),Los Angeles,Unified School District,16855,0.2,51.4,0.7,2.2,40.6,0.1,2.5,0.2,2.2,97.8,55.43,63.32,744,1314,1152,9998
Alisal Union (Monterey),Monterey,Elementary School District,9162,0,0.7,0.3,0.5,91.2,0.2,0.3,5.6,1.2,98.8,23.03,31.83,707,1002,571,10320
Allensworth Elementary (Tulare),Tulare,Elementary School District,82,0,0,0,0,100,0,0,0,0,100,24.39,20.41,689,724,330,11592
Alpaugh Unified (Tulare),Tulare,Unified School District,754,0.1,1.5,2.5,0.7,61.1,0,6.2,0,27.9,72.1,10.11,23.4,906,885,595,12329
Alpine County Office of Education (Alpine),Alpine,County Office of Education (COE),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alpine County Unified (Alpine),Alpine,Unified School District,80,47.5,0,0,0,5,0,2.5,1.3,43.8,56.2,66.07,55.36,5476,4130,4155,25974
Alpine Union Elementary (San Diego),San Diego,Elementary School District,1709,3.9,0.8,1.6,0.8,23.8,0.3,4.4,2.5,62,38,40.06,58.49,479,827,976,8314
Alta Loma Elementary (San Bernardino),San Bernardino,Elementary School District,5987,0.6,7.3,5.7,1.7,45.7,0.4,1.8,0,36.8,63.2,54.44,67.75,238,839,952,8145
Alta Vista Elementary (Tulare),Tulare,Elementary School District,558,0.5,0.7,0,0.2,82.6,2.7,0.4,0,12.9,87.1,10.63,18.31,840,842,8,10189
Alta-Dutch Flat Union Elementary (Placer),Placer,Elementary School District,109,0.9,0.9,0,0.9,5.5,0,1.8,0,89.9,10.1,49.3,60.56,996,1294,1129,9339
Alum Rock Union Elementary (Santa Clara),Santa Clara,Elementary School District,11270,0.2,11.7,1.2,4.5,78.9,0.7,0.9,0.1,1.7,98.3,30.42,38.67,655,1521,913,10807
Alview-Dairyland Union Elementary (Madera),Madera,Elementary School District,395,0.3,2,0,0.5,58.2,0,0,0.3,38.7,61.3,43.8,48.35,570,819,258,9188
Alvina Elementary (Fresno),Fresno,Elementary School District,188,0,0.5,0,0,85.6,0,0.5,0,13.3,86.7,34.75,43.22,521,885,417,9759
Alvord Unified (Riverside),Riverside,Unified School District,19005,0.2,3.7,3.7,1.5,79.2,0.5,1.3,0.1,9.9,90.1,27.24,40.29,598,1267,341,10304
Amador County Office of Education (Amador),Amador,County Office of Education (COE),221,4.1,0.5,0,0,26.7,0,6.8,1.4,60.6,39.4,6.31,21.36,N/A,N/A,N/A,N/A
Amador County Unified (Amador),Amador,Unified School District,3926,2.7,0.6,0.5,0.6,20.9,0.2,5.8,0.8,68,32,29.17,44.78,273,782,202,9135
Anaheim Elementary (Orange),Orange,Elementary School District,17911,0.1,4.3,1.4,1.4,85.8,0.4,0.7,1.2,4.7,95.3,24.75,30.22,816,1896,152,10551
Anaheim Union High (Orange),Orange,High School District,30729,0.4,13.1,2.2,4.3,67.8,0.6,1.6,4.2,5.9,94.1,27.29,43.68,592,1680,280,10367
Anderson Union High (Shasta),Shasta,High School District,1779,5.7,2.8,1.4,0.4,16.4,0.4,2.9,0.2,69.8,30.2,28.82,54.84,730,1082,1138,10220
Anderson Valley Unified (Mendocino),Mendocino,Unified School District,488,1,0.4,0.6,0,75.6,0,0.6,0.4,21.3,78.7,29.48,52.27,991,1557,1734,12163
Antelope Elementary (Tehama),Tehama,Elementary School District,840,1.9,1,0.7,0.1,23,0.4,3.2,0.4,69.4,30.6,45.87,56.87,559,829,552,9211
Antelope Valley Union High (Los Angeles),Los Angeles,High School District,22726,0.3,1.3,17.2,1.4,62.1,0.1,4.3,0.1,13.1,86.9,13.57,38.75,788,1239,969,10915
Antioch Unified (Contra Costa),Contra Costa,Unified School District,17233,0.6,4.7,24.5,4.7,44.8,1.3,5.2,0,14.2,85.8,18.18,31.12,643,1084,486,10065
Apple Valley Unified (San Bernardino),San Bernardino,Unified School District,14415,0.4,2.2,9,0.6,46,0.5,1.9,34.7,4.8,95.2,25.2,40.23,754,1237,331,9555
Arcadia Unified (Los Angeles),Los Angeles,Unified School District,9460,0.1,65.8,1.8,3.1,14.4,0,1.5,0.1,13.2,86.8,75.27,76.2,354,1054,1675,8501
Arcata Elementary (Humboldt),Humboldt,Elementary School District,1087,2,1.9,1.6,0.1,14.9,0.1,9.6,2.4,67.4,32.6,41.88,51.28,1512,1252,2701,9013
Arcohe Union Elementary (Sacramento),Sacramento,Elementary School District,457,1.1,2.2,2.2,0.2,44.6,0.4,6.3,0.2,42.7,57.3,46.5,40.35,591,940,595,8981
Arena Union Elementary (Mendocino),Mendocino,Elementary School District,310,10,0,0.6,0,47.4,0,6.5,0,35.5,64.5,25.93,36.2,N/A,N/A,N/A,N/A
Arena Union Elementary/Point Arena Joint Union High (Mendocino),Mendocino,Common Administration District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1215,1941,1649,18424
Armona Union Elementary (Kings),Kings,Elementary School District,1463,1.2,1.5,3,0.8,67.1,0.1,2.3,1.5,22.6,77.4,25.37,30.36,1609,935,685,10517
Aromas - San Juan Unified (San Benito),San Benito,Unified School District,1101,0.2,0.9,0.2,0.5,65.8,0,1.5,0.4,30.6,69.4,28.77,40.67,566,508,559,10764
Arvin Union (Kern),Kern,Elementary School District,3050,0.1,0.2,0.5,0.1,96,0,0.1,0,3,97,22.68,31.99,1262,763,624,10350
Atascadero Unified (San Luis Obispo),San Luis Obispo,Unified School District,4683,1,1.4,1.6,1,27.7,0.1,2.7,0,64.4,35.6,39.6,51.51,370,905,472,8906
Atwater Elementary (Merced),Merced,Elementary School District,5073,0.6,3.7,2.2,0.3,71.9,0.2,2,0,19,81,34.83,47.47,695,1279,153,9889
Auburn Union Elementary (Placer),Placer,Elementary School District,2002,1.1,1.2,1.1,1,30.9,0,4.4,1,59.1,40.9,31.26,42.19,831,1171,1197,9795
Azusa Unified (Los Angeles),Los Angeles,Unified School District,8270,0.2,1.1,1.1,1.1,92.4,0,0.5,0.2,3.3,96.7,28.28,39.33,859,1368,999,11021
Baker Valley Unified (San Bernardino),San Bernardino,Unified School District,139,0,0,0,0,84.9,0,0,0,15.1,84.9,18.99,29.11,822,2623,1752,19875
Bakersfield City (Kern),Kern,Elementary School District,30699,0.5,0.8,8.3,0.4,78.7,0.1,1.8,0,9.4,90.6,22.57,34.98,1066,1743,84,10247
Baldwin Park Unified (Los Angeles),Los Angeles,Unified School District,16695,1.4,4.8,3.4,1.5,72.6,0.2,1.1,11.3,3.7,96.3,28.2,42.82,794,1111,990,11292
Ballard Elementary (Santa Barbara),Santa Barbara,Elementary School District,131,0,0.8,2.3,0,16.8,0,1.5,0,78.6,21.4,75.34,85.14,341,988,657,16242
Ballico-Cressey Elementary (Merced),Merced,Elementary School District,367,1.1,2.5,0.8,0,52.9,0,0.5,10.1,32.2,67.8,25.98,49.02,687,1150,82,9333
Bangor Union Elementary (Butte),Butte,Elementary School District,76,0,1.3,0,0,10.5,0,3.9,0,84.2,15.8,26.53,34.69,898,2882,2273,10947
Banning Unified (Riverside),Riverside,Unified School District,4526,3,4.5,7.9,0.9,67.8,0.1,2.6,0.2,12.9,87.1,14.78,26.32,1068,1363,709,10567
Banta Elementary (San Joaquin),San Joaquin,Elementary School District,851,0,20.8,4.8,3.1,45.4,0.5,5.6,0.2,19.6,80.4,31.7,41.49,536,848,2681,9481
Barstow Unified (San Bernardino),San Bernardino,Unified School District,6226,1.1,0.7,19.2,0.5,51.5,1.1,5.5,0,20.4,79.6,20.02,30.73,898,1062,287,9819
Bass Lake Joint Union Elementary (Madera),Madera,Elementary School District,898,2.4,1.7,0.6,0.4,20,0,3,0.2,71.6,28.4,37.57,45.06,363,810,450,8838
Bassett Unified (Los Angeles),Los Angeles,Unified School District,3611,0.1,3.6,0.7,1.3,93.1,0.1,0,0,1.1,98.9,32.44,44.16,755,966,810,11163
Bayshore Elementary (San Mateo),San Mateo,Elementary School District,378,0,16.1,4.5,23.8,40.7,6.6,5.3,0,2.9,97.1,32.1,35.54,716,901,1503,9853
Bear Valley Unified (San Bernardino),San Bernardino,Unified School District,2489,0.2,0.8,0.8,0,34.3,0.1,3.3,0,60.4,39.6,29.07,44.12,528,897,1059,9852
Beardsley Elementary (Kern),Kern,Elementary School District,1908,0.3,0.2,2.5,0.2,42.5,0.1,2.5,5.3,46.5,53.5,19.66,29.39,699,715,626,10023
Beaumont Unified (Riverside),Riverside,Unified School District,10337,0.9,2.8,6.3,2.7,52.4,0.2,2.7,0.4,31.5,68.5,34.18,48.37,442,940,943,9002
Bella Vista Elementary (Shasta),Shasta,Elementary School District,352,3.7,2,1.4,0.3,12.2,0,2.8,0,77.6,22.4,42.11,51.82,574,982,799,9170
Belleview Elementary (Tuolumne),Tuolumne,Elementary School District,154,1.9,0,0.6,0,21.4,1.3,6.5,0,68.2,31.8,21.05,45.26,394,1291,1336,10711
Bellevue Union (Sonoma),Sonoma,Elementary School District,1845,0.7,2.5,1.3,0.3,85.5,0.1,1.4,0.2,7.9,92.1,23.81,34.91,550,1151,922,11298
Bellflower Unified (Los Angeles),Los Angeles,Unified School District,11946,0.4,4,12.8,4.6,64.5,0.9,2.6,0.3,10,90,31.13,49.69,661,1544,226,9884
Belmont-Redwood Shores Elementary (San Mateo),San Mateo,Elementary School District,4324,0.1,28.8,1.5,3,11.6,0.8,11.7,2.1,40.4,59.6,77.33,79.81,231,864,1746,8135
Belridge Elementary (Kern),Kern,Elementary School District,40,0,0,0,0,97.5,0,0,0,2.5,97.5,34.62,50,(140),945,499,12526
Benicia Unified (Solano),Solano,Unified School District,4787,0.3,4.2,8.2,8.2,18.6,0.2,13.5,1.3,45.6,54.4,52.21,53.09,240,893,634,8429
Bennett Valley Union Elementary (Sonoma),Sonoma,Elementary School District,1022,0.4,3.7,2,0.9,22,0.8,6.4,0.1,63.8,36.2,59.89,65.16,338,845,590,8174
Berkeley Unified (Alameda),Alameda,Unified School District,10340,0.2,7.1,15.2,0.7,24.3,0.2,13.7,0.1,38.6,61.4,59.54,65.58,386,1465,5734,9189
Berryessa Union Elementary (Santa Clara),Santa Clara,Elementary School District,7102,0.1,50.4,1.7,13.2,23.4,0.6,5.3,0,5.3,94.7,56.81,62.89,379,478,695,8749
Beverly Hills Unified (Los Angeles),Los Angeles,Unified School District,3933,0.2,12.1,2.5,1,7.9,0.3,4,0.5,71.5,28.5,63.37,76.88,387,586,4169,13201
Big Creek Elementary (Fresno),Fresno,Elementary School District,59,0,0,0,0,18.6,0,1.7,0,79.7,20.3,40.48,66.67,3385,1173,2168,20649
Big Lagoon Union Elementary (Humboldt),Humboldt,Elementary School District,17,23.5,0,0,0,29.4,0,11.8,0,35.3,64.7,redacted,redacted,1399,2551,533,32171
Big Oak Flat-Groveland Unified (Tuolumne),Tuolumne,Unified School District,287,0.7,0.7,2.4,0.3,16.7,0,0.7,2.1,76.3,23.7,18.01,35.44,625,2066,400,19365
Big Pine Unified (Inyo),Inyo,Unified School District,151,43,0.7,0,0,26.5,0.7,9.3,0,19.9,80.1,24.36,28.21,4753,1461,1326,19165
Big Springs Union Elementary (Siskiyou),Siskiyou,Elementary School District,179,0.6,6.7,0.6,0,16.8,0,7.3,3.4,64.8,35.2,36.89,43.9,527,677,2351,8669
Big Sur Unified (Monterey),Monterey,Unified School District,114,0,2.6,1.8,0,21.9,0.9,14,0.9,57.9,42.1,redacted,redacted,2714,(698),5492,69313
Big Valley Joint Unified (Lassen),Lassen,Unified School District,135,5.2,0,0.7,0,14.1,0,0,0,80,20,7.35,22.06,971,1420,1804,14138
Biggs Unified (Butte),Butte,Unified School District,629,1.1,1.9,2.5,0,38.8,0.5,0.8,0,54.4,45.6,18.33,29.67,607,1547,566,10066
Bishop Unified (Inyo),Inyo,Unified School District,1951,14.7,1.2,0.5,0.2,36.9,0,6.2,1.7,38.7,61.3,34.98,37.64,1035,878,462,9149
Bitterwater-Tully Elementary (San Benito),San Benito,Elementary School District,34,0,0,0,0,32.4,0,2.9,0,64.7,35.3,30,38.1,804,2147,2431,10337
Black Butte Union Elementary (Shasta),Shasta,Elementary School District,211,7.6,0.9,0.5,0,12.8,0.5,6.2,0.9,70.6,29.4,26.92,32.31,1448,1873,697,10196
Black Oak Mine Unified (El Dorado),El Dorado,Unified School District,1242,2.7,0.6,0.4,0.1,9.4,0,2.2,0.1,84.5,15.5,30.11,37.76,532,893,1013,9480
Blake Elementary (Kern),Kern,Elementary School District,13,0,0,0,0,30.8,0,0,0,69.2,30.8,redacted,redacted,1755,447,1044,14285
Blochman Union Elementary (Santa Barbara),Santa Barbara,Elementary School District,1313,0.4,0.8,1,0.5,25.4,0.4,6.9,2.5,62.1,37.9,38.85,50.36,344,425,1903,10595
Blue Lake Union Elementary (Humboldt),Humboldt,Elementary School District,185,7.6,1.1,0.5,0,17.3,0,16.2,9.2,48.1,51.9,28.07,38.6,630,1389,1178,8827
Bogus Elementary (Siskiyou),Siskiyou,Elementary School District,13,0,0,0,0,0,0,23.1,0,76.9,23.1,redacted,redacted,1693,916,2973,15325
Bolinas-Stinson Union (Marin),Marin,Elementary School District,91,0,1.1,4.4,0,19.8,0,11,0,63.7,36.3,25.93,52.73,3849,1674,10007,37537
Bonita Unified (Los Angeles),Los Angeles,Unified School District,10088,0.1,5.8,3.1,2.4,52.1,0.2,5.4,2.9,27.9,72.1,56.19,70.99,326,949,1343,8721
Bonny Doon Union Elementary (Santa Cruz),Santa Cruz,Elementary School District,168,1.2,2.4,0,0,4.8,0,1.8,0,89.9,10.1,50,65.63,362,1268,770,10530
Bonsall Unified (San Diego),San Diego,Unified School District,2930,5.4,3.1,1.7,1.8,33.3,0.6,5,2.9,46.3,53.7,54.57,62.77,948,890,839,8540
Borrego Springs Unified (San Diego),San Diego,Unified School District,2443,0.7,0.5,6.1,1,66.6,0.3,4.1,0.7,20.1,79.9,25.59,41.35,841,871,3961,12174
Bradley Union Elementary (Monterey),Monterey,Elementary School District,275,0.4,2.5,7.3,0,27.6,1.1,2.5,2.9,55.6,44.4,24.53,38.46,384,1459,4589,10314
Brawley Elementary (Imperial),Imperial,Elementary School District,3980,0,0.3,0.7,0.2,95,0,0.2,0.2,3.5,96.5,28.57,37.96,867,1125,263,10130
Brawley Union High (Imperial),Imperial,High School District,1857,0,0.3,1.2,0.3,90.6,0.1,0.2,0,7.3,92.7,27.25,56.14,745,1272,401,11140
Brea-Olinda Unified (Orange),Orange,Unified School District,5951,0.2,23,1.6,3.4,36.7,0.4,3,0.1,31.6,68.4,63.16,67.15,325,1105,188,8477
Brentwood Union Elementary (Contra Costa),Contra Costa,Elementary School District,9049,0.3,5.9,7,5.2,30.8,0.7,6.9,2.1,41.1,58.9,50.31,59.64,309,937,517,8100
Bret Harte Union High (Calaveras),Calaveras,High School District,689,1.3,0.7,0.1,0.6,21.3,0,5.5,0,70.4,29.6,29.63,63.58,309,1332,947,15744
Bridgeville Elementary (Humboldt),Humboldt,Elementary School District,26,7.7,0,0,3.8,11.5,0,26.9,0,50,50,redacted,16.67,1853,2362,1222,16770
Briggs Elementary (Ventura),Ventura,Elementary School District,549,0,0,0,0,96,0,0.5,0,3.5,96.5,30.23,44.78,472,1371,661,9627
Brisbane Elementary (San Mateo),San Mateo,Elementary School District,470,0,19.8,1.5,10.2,31.3,0.4,8.5,0.2,28.1,71.9,50.19,65.41,302,960,2880,12942
Brittan Elementary (Sutter),Sutter,Elementary School District,458,1.1,0,0,0,22.1,0,10.3,0.4,66.2,33.8,38.24,36.93,278,1020,206,8692
Browns Elementary (Sutter),Sutter,Elementary School District,149,0,3.4,0.7,0,39.6,0.7,8.7,0,47,53,35.64,32.35,293,1054,609,8724
Buckeye Union Elementary (El Dorado),El Dorado,Elementary School District,5996,0.4,6.8,1,1.3,16,0.3,6.7,0.5,67.1,32.9,65.48,70.94,215,864,628,7952
Buellton Union Elementary (Santa Barbara),Santa Barbara,Elementary School District,564,0.4,0.7,0.4,0,45,0,5,2.8,45.7,54.3,60.75,70.43,1054,1314,5684,10351
Buena Park Elementary (Orange),Orange,Elementary School District,4684,0.3,15.7,3.8,4.4,66.5,0.4,1.6,0.7,6.6,93.4,37.17,43.65,834,1224,907,10123
Buena Vista Elementary (Tulare),Tulare,Elementary School District,212,0,0,1.9,0,69.3,0,0.9,0,27.8,72.2,40.85,39.44,269,1721,375,9262
Burbank Unified (Los Angeles),Los Angeles,Unified School District,15173,0.2,5.3,2.7,4,35,0.1,4,1.7,47,53,50.41,63.42,389,1556,317,8507
Burlingame Elementary (San Mateo),San Mateo,Elementary School District,3507,0.1,21.9,0.6,3.1,15.2,0.4,7.8,1.9,48.9,51.1,76.47,78.25,255,826,1473,8227
Burnt Ranch Elementary (Trinity),Trinity,Elementary School District,88,26.1,0,2.3,0,21.6,0,8,0,42,58,26.32,43.86,1520,2982,1262,12888
Burrel Union Elementary (Fresno),Fresno,Elementary School District,117,0,2.6,0,0,90.6,0,0,0,6.8,93.2,32.5,27.5,985,2214,512,10980
Burton Elementary (Tulare),Tulare,Elementary School District,4920,1.3,2.5,0.5,2.5,71.6,0.2,0.8,0.7,19.9,80.1,26.82,39.14,474,969,290,8935
Butte County Office of Education (Butte),Butte,County Office of Education (COE),1251,2.5,1.5,1.3,0.1,18.6,0.2,8,0,67.9,32.1,7.51,31.61,N/A,N/A,N/A,N/A
Butte Valley Unified (Siskiyou),Siskiyou,Unified School District,316,3.2,1.3,0,0,48.1,0,1.3,1.3,44.9,55.1,23.49,38.93,503,2072,1984,12030
Butteville Union Elementary (Siskiyou),Siskiyou,Elementary School District,207,0.5,0,1,0,14.5,0,13,0.5,70.5,29.5,46.04,58.99,409,694,816,8856
Buttonwillow Union Elementary (Kern),Kern,Elementary School District,344,0.3,0.6,1.5,0,89.5,0,0.3,0,7.8,92.2,13.04,17.39,981,1323,827,11188
Byron Union Elementary (Contra Costa),Contra Costa,Elementary School District,2325,1.9,3.9,4.8,0.4,24.1,1.3,4.7,0.5,58.4,41.6,46.79,55.79,354,979,1568,8391
Cabrillo Unified (San Mateo),San Mateo,Unified School District,3207,0.2,1.5,0.3,1,52,0.1,3.4,0.3,41,59,37.35,49.73,465,1010,986,9234
Cajon Valley Union (San Diego),San Diego,Elementary School District,17369,0.2,2.6,5.9,0.6,36.1,0.6,2.4,4.1,47.5,52.5,32.37,41.75,573,997,1085,9229
Calaveras County Office of Education (Calaveras),Calaveras,County Office of Education (COE),514,0.6,0.2,1.8,0,18.3,0,9.3,0,69.8,30.2,24.29,41.58,N/A,N/A,N/A,N/A
Calaveras Unified (Calaveras),Calaveras,Unified School District,2870,1.8,1,0.6,0.4,19.6,0.4,4.9,0,71.4,28.6,28.64,34.28,436,930,294,9789
Calexico Unified (Imperial),Imperial,Unified School District,9200,0,0.3,0,0,99.4,0,0,0,0.3,99.7,21.95,30,951,1146,264,10808
Caliente Union Elementary (Kern),Kern,Elementary School District,50,0,0,0,0,20,0,8,0,72,28,20,33.33,1209,953,271,14737
Calipatria Unified (Imperial),Imperial,Unified School District,1168,0,0.1,2.3,0.3,88.2,0,0.9,0.1,8.2,91.8,24.8,43.39,1150,1056,627,10641
Calistoga Joint Unified (Napa),Napa,Unified School District,849,0.2,0.4,0,1.6,83.3,0,0.1,2.4,12,88,31.26,45.88,221,1327,572,17892
Cambrian (Santa Clara),Santa Clara,Elementary School District,3591,0.5,18.2,2.4,1.9,22.3,0.3,9.5,2,42.9,57.1,62.73,66.99,254,940,816,8320
Camino Union Elementary (El Dorado),El Dorado,Elementary School District,466,2.6,0,0,0,32.8,0,7.3,0,57.3,42.7,49.8,57.31,417,1063,609,9433
Campbell Union (Santa Clara),Santa Clara,Elementary School District,7298,0.2,14.1,3.4,2.1,47.1,0.5,6.1,3.1,23.2,76.8,49.31,55.24,429,1088,1053,10228
Campbell Union High (Santa Clara),Santa Clara,High School District,8043,0.4,16.3,2.5,2.4,34.8,0.6,3.7,0.8,38.3,61.7,43.38,69.57,321,1254,1339,10964
Camptonville Elementary (Yuba),Yuba,Elementary School District,498,1.4,1.2,0.8,0,14.9,0.4,12,2.8,66.5,33.5,68.57,68.57,1155,728,1877,11133
Canyon Elementary (Contra Costa),Contra Costa,Elementary School District,72,0,2.8,4.2,0,9.7,0,19.4,0,63.9,36.1,65.22,67.39,640,680,3550,9005
Capay Joint Union Elementary (Glenn),Glenn,Elementary School District,182,0,0.5,0,0,41.2,0,1.1,0.5,56.6,43.4,49.61,50,168,422,836,8746
Capistrano Unified (Orange),Orange,Unified School District,53622,0.2,5.8,1.3,1.8,26.6,0.1,7.1,1.3,55.8,44.2,60.2,70.32,396,1599,222,8429
Cardiff Elementary (San Diego),San Diego,Elementary School District,703,0,1,0.3,0.1,18.5,0,6.8,2.1,71.1,28.9,71.76,74.61,231,1027,1085,12535
Carlsbad Unified (San Diego),San Diego,Unified School District,11326,0.3,6,1.3,0.9,27.9,0.2,7.6,0,55.8,44.2,66.31,74.25,337,911,789,8287
Carmel Unified (Monterey),Monterey,Unified School District,2490,0.2,4.3,0.4,0.4,18.7,0.2,9.5,4,62.4,37.6,67.89,80.91,250,1316,817,21756
Carpinteria Unified (Santa Barbara),Santa Barbara,Unified School District,2205,0.4,1.3,0.4,0.5,73.6,0,1.4,0,22.4,77.6,39.46,44.58,575,1211,761,11484
Caruthers Unified (Fresno),Fresno,Unified School District,1450,0.9,4.9,0.3,0,82,0.1,0.3,1.6,9.9,90.1,37.24,44.06,743,1572,848,11183
Cascade Union Elementary (Shasta),Shasta,Elementary School District,1119,6.8,5.1,1.9,1.2,24.7,0.4,2.1,1.2,56.7,43.3,25.26,32.64,1140,919,1393,10132
Castaic Union (Los Angeles),Los Angeles,Elementary School District,2153,0,4.1,1.8,3.5,43.7,0.2,4.1,0,42.5,57.5,44.36,60.33,545,844,926,8322
Castle Rock Union Elementary (Shasta),Shasta,Elementary School District,60,1.7,0,3.3,0,21.7,0,15,0,58.3,41.7,40.54,37.84,1078,1148,1027,12115
Castro Valley Unified (Alameda),Alameda,Unified School District,9312,0.2,26.4,5.6,4.6,23.6,0.4,9.7,1.6,27.8,72.2,61.67,66.86,305,1575,492,8456
Cayucos Elementary (San Luis Obispo),San Luis Obispo,Elementary School District,191,0,1.6,0,0.5,20.4,0,8.4,0,69.1,30.9,50.7,62.68,790,973,1247,14685
Center Joint Unified (Sacramento),Sacramento,Unified School District,4332,0.6,6.4,11.2,3,26.4,1.1,6.8,0.2,44.3,55.7,31.33,45.27,631,1061,582,9762
Centinela Valley Union High (Los Angeles),Los Angeles,High School District,7501,0.2,2.2,15.4,0.9,74.4,0.9,2.3,0.8,2.9,97.1,12.71,45.7,948,1449,1093,12078
Central Elementary (San Bernardino),San Bernardino,Elementary School District,4555,0.1,5.6,9.9,2.3,52.6,0.6,2.9,0,26,74,42.64,55.23,375,1044,576,8578
Central Unified (Fresno),Fresno,Unified School District,15893,0.5,13.5,9.5,1,58.7,0.2,1.4,0,15.1,84.9,30.85,43.92,607,936,581,9525
Central Union Elementary (Kings),Kings,Elementary School District,1801,6.8,1,6.3,3.9,38.7,0.9,8.3,0,34,66,45.05,55.51,4619,1018,507,8472
Central Union High (Imperial),Imperial,High School District,4182,0,0.7,0.8,0,93.7,0,0.2,0.9,3.7,96.3,18.34,57.16,646,1139,332,11095
Centralia Elementary (Orange),Orange,Elementary School District,4327,0.4,16.3,3,9.5,51.9,0.4,3.1,0.2,15.2,84.8,58.54,63.95,670,1505,611,9021
Ceres Unified (Stanislaus),Stanislaus,Unified School District,14714,0.4,5.1,1.9,0.5,76.3,0.7,0.9,0.1,14.1,85.9,24.44,42.32,635,648,721,10553
Chaffey Joint Union High (San Bernardino),San Bernardino,High School District,23969,0.4,6.1,7.6,2.1,64,0.5,2.2,0.4,16.6,83.4,36.95,65.05,504,995,535,10111
Charter Oak Unified (Los Angeles),Los Angeles,Unified School District,4765,0.4,5.2,3,2.5,67.6,0.4,3,0.2,17.8,82.2,43.36,51.49,534,589,1099,9348
Chatom Union (Stanislaus),Stanislaus,Elementary School District,582,0.2,0.2,0,0,65.1,0,1.2,0,33.3,66.7,32.6,46.11,1046,529,750,10586
Chawanakee Unified (Madera),Madera,Unified School District,1086,8.9,1.1,1.3,0,20.7,0.1,3.8,0.5,63.6,36.4,24.2,46.87,629,821,1314,10827
Chicago Park Elementary (Nevada),Nevada,Elementary School District,186,1.6,1.1,0,0.5,14.5,0,5.4,0,76.9,23.1,42.74,45.16,746,1429,5627,9129
Chico Unified (Butte),Butte,Unified School District,14228,1.5,5,2.4,0.6,24.1,0.5,4.7,1.7,59.4,40.6,43.76,53.37,637,1436,741,8681
Chino Valley Unified (San Bernardino),San Bernardino,Unified School District,28141,0.1,15.5,3.1,4.8,56,0.2,2.1,1,17.1,82.9,45.73,57.78,444,986,615,8696
Chowchilla Elementary (Madera),Madera,Elementary School District,2243,0.5,1.9,2.5,0.2,65.3,0.2,2.1,0,27.2,72.8,22.42,30.06,632,1226,356,9829
Chowchilla Union High (Madera),Madera,High School District,1113,1,0.9,1.4,0.5,60.9,0.1,1.4,0,33.7,66.3,15.47,43.93,712,927,496,10884
Chualar Union (Monterey),Monterey,Elementary School District,330,0,0,0,0,99.4,0,0,0,0.6,99.4,34.3,46.83,475,1274,718,10644
Chula Vista Elementary (San Diego),San Diego,Elementary School District,30120,0.2,2.2,3.6,9.1,69.7,0.4,3.4,0.3,11.2,88.8,51.68,64.39,691,931,1344,8658
Cienega Union Elementary (San Benito),San Benito,Elementary School District,30,0,0,0,0,36.7,0,0,0,63.3,36.7,33.33,29.17,772,2364,886,11672
Cinnabar Elementary (Sonoma),Sonoma,Elementary School District,259,0,0,1.2,0.4,63.7,0.8,1.5,0,32.4,67.6,29.12,41.76,495,1044,1216,12656
