District_Name,County_Name,District_Type,Enrollment_District,AmericanIndian_AlaskaNative,Asian,Black_AfricanAmerican,Filipino,Hispanic_Latino,NativeHawaiian_PacIslander,Two_orMoreRaces,NoneReported,White,Nonwhite,CAASPP-Math,CAASPP-ELA,FederalRevenue,StateRevenue,LocalRevenue,LCFF
Salinas City Elementary (Monterey),Monterey,Elementary School District,8844,0.2,0.5,0.6,1.2,90.7,0.1,1.4,0.2,5.1,94.9,22.44,30.96,791,1019,675,10126
Salinas Union High (Monterey),Monterey,High School District,15631,0.1,1,0.8,2.1,87.6,0.1,0.5,0,7.8,92.2,20.87,38.72,721,1068,522,10185
San Antonio Union Elementary (Monterey),Monterey,Elementary School District,147,0.7,0,8.2,0.7,32.7,0,6.8,3.4,47.6,52.4,15.38,31.52,1648,1295,1826,11108
San Ardo Union Elementary (Monterey),Monterey,Elementary School District,105,0,0,0,0,92.4,0,0,1.9,5.7,94.3,13.43,22.39,1768,1723,1064,10232
San Benito County Office of Education (San Benito),San Benito,County Office of Education (COE),39,0,0,0,0,92.3,0,0,0,7.7,92.3,0,0,N/A,N/A,N/A,N/A
San Benito High (San Benito),San Benito,High School District,3066,0.3,1.5,0.4,1.3,71.5,0.1,0.8,0.9,23.3,76.7,32.22,54.08,643,892,768,9834
San Bernardino City Unified (San Bernardino),San Bernardino,Unified School District,53027,0.5,1.4,11.7,0.4,74,0.4,1.4,4.6,5.7,94.3,26.24,40.1,1231,2003,210,10937
San Bernardino County Office of Education (San Bernardino),San Bernardino,County Office of Education (COE),3302,0.9,1.7,14.5,0.6,63,0.3,1.8,3.2,13.9,86.1,2.78,6.63,N/A,N/A,N/A,N/A
San Bruno Park Elementary (San Mateo),San Mateo,Elementary School District,2641,0,12.8,1.8,11.2,37.4,5.5,3.6,8,19.8,80.2,44.51,48.49,439,938,733,9706
San Carlos Elementary (San Mateo),San Mateo,Elementary School District,3549,0.1,12.7,0.9,1.5,13.8,0.3,12.3,1.4,57.1,42.9,76.83,79.06,228,830,2175,8532
San Diego County Office of Education (San Diego),San Diego,County Office of Education (COE),3372,0.5,15.9,6.3,0.8,45.8,0.4,3.3,0.1,26.8,73.2,1.58,8.93,N/A,N/A,N/A,N/A
San Diego Unified (San Diego),San Diego,Unified School District,126400,0.3,8.5,8.4,4.9,46.5,0.4,7.2,0.8,23,77,47.16,56.35,1032,1962,408,9956
San Dieguito Union High (San Diego),San Diego,High School District,13063,0.3,16.4,0.8,0.9,14,0.2,3.4,0,64,36,72.17,80.33,304,1089,794,8665
San Francisco County Office of Education (San Francisco),San Francisco,County Office of Education (COE),293,1,8.2,21.8,2.4,37.2,3.4,3.1,10.6,12.3,87.7,18.75,12.5,N/A,N/A,N/A,N/A
San Francisco Unified (San Francisco),San Francisco,Unified School District,60263,0.4,31,8.4,4.2,31.2,1,4.9,4.7,14.2,85.8,50.59,55.26,513,1423,4018,9953
San Gabriel Unified (Los Angeles),Los Angeles,Unified School District,7244,1.7,36.9,2.5,1.7,31.1,0.2,3.3,11.9,10.8,89.2,50.71,60.5,542,1073,1270,9362
San Jacinto Unified (Riverside),Riverside,Unified School District,11446,2.2,1,8,0.9,70.8,0.6,2.8,0.1,13.7,86.3,21.12,35.5,860,1362,732,10044
San Joaquin County Office of Education (San Joaquin),San Joaquin,County Office of Education (COE),4576,0.6,6.3,10.9,3.2,54.8,0.7,5.1,0.3,18.1,81.9,0.72,4.82,N/A,N/A,N/A,N/A
San Jose Unified (Santa Clara),Santa Clara,Unified School District,31713,0.3,13.3,2.5,1.9,52.8,0.4,4.5,0.3,24,76,44.23,55.54,374,1089,540,10106
San Juan Unified (Sacramento),Sacramento,Unified School District,50044,0.9,6,7.4,1.3,22.5,0.7,4.8,0.7,55.8,44.2,34.98,45.66,747,1713,311,8853
San Leandro Unified (Alameda),Alameda,Unified School District,8880,0.3,16.4,13.2,7.4,48,1.2,4.4,0.6,8.6,91.4,25.64,37.75,535,1144,805,9385
San Lorenzo Unified (Alameda),Alameda,Unified School District,11530,0.2,14.8,9.9,7,56,1.5,2.5,0.4,7.8,92.2,23.4,34.06,562,1148,782,9937
San Lorenzo Valley Unified (Santa Cruz),Santa Cruz,Unified School District,4998,0.4,4.1,0.8,0.5,16.7,0.3,7.8,5.3,64.2,35.8,43.46,58.48,520,985,1206,9578
San Lucas Union Elementary (Monterey),Monterey,Elementary School District,74,1.4,0,0,0,85.1,2.7,1.4,0,9.5,90.5,9.3,48.84,2455,1637,1103,10246
San Luis Coastal Unified (San Luis Obispo),San Luis Obispo,Unified School District,7755,0.3,3.5,0.9,2,28.6,0.2,4.8,0.3,59.5,40.5,61.64,68.33,445,1005,640,10939
San Luis Obispo County Office of Education (San Luis Obispo),San Luis Obispo,County Office of Education (COE),401,0.5,0.5,1.5,0.2,74.1,0.2,2.5,0,20.4,79.6,0.65,6.79,N/A,N/A,N/A,N/A
San Marcos Unified (San Diego),San Diego,Unified School District,21007,0.3,5.4,1.9,2.1,45.2,0.4,0,0,44.6,55.4,51.24,64.89,452,996,685,8526
San Marino Unified (Los Angeles),Los Angeles,Unified School District,3072,0.1,57.9,0.7,1.8,6.4,0.3,9,0.3,23.5,76.5,86.86,86.95,291,522,4523,8240
San Mateo County Office of Education (San Mateo),San Mateo,County Office of Education (COE),303,0.3,9.6,8.9,9.9,51.8,3.3,1.7,2.6,11.9,88.1,2.22,6,N/A,N/A,N/A,N/A
San Mateo Union High (San Mateo),San Mateo,High School District,9484,0.2,22,0.8,5.8,31.3,2.3,9,0.1,28.5,71.5,51.59,71.45,331,1187,950,16682
San Mateo-Foster City (San Mateo),San Mateo,Elementary School District,11837,0.1,24.8,0.9,3.6,34.8,2.1,8.3,0.4,24.8,75.2,54.98,62.4,338,874,899,9428
San Miguel Joint Union (San Luis Obispo),San Luis Obispo,Elementary School District,901,0.4,0.2,0.3,0.3,50.7,0.1,2.9,0.1,44.8,55.2,36.74,38.1,771,1498,1156,9588
San Pasqual Union Elementary (San Diego),San Diego,Elementary School District,587,0.7,1.5,2.6,0.7,28.3,0,6.5,2,57.8,42.2,50.39,56.33,355,889,1309,7555
San Pasqual Valley Unified (Imperial),Imperial,Unified School District,714,51.4,0,0.8,0,42,0,3.5,0,2.2,97.8,13.59,27.82,6668,1725,590,12341
San Rafael City Elementary (Marin),Marin,Elementary School District,4730,0.4,3.4,1,0.4,68.2,0.2,1.1,0.1,25.2,74.8,37.32,42.91,505,1348,1652,9145
San Rafael City High (Marin),Marin,High School District,2648,0.4,5.4,1.3,0.3,56,0.3,1.5,0.3,34.5,65.5,37.14,53.86,392,1264,2231,10523
San Ramon Valley Unified (Contra Costa),Contra Costa,Unified School District,32504,0.2,36.8,1.6,3.6,8.8,0.2,8,0,40.8,59.2,77.3,82.33,198,1621,1080,8003
San Ysidro Elementary (San Diego),San Diego,Elementary School District,4733,0,0.7,2.6,3.5,90.2,0,1.1,0.2,1.7,98.3,28.78,39.68,745,897,794,10357
Sanger Unified (Fresno),Fresno,Unified School District,12102,0.2,10.6,1.2,0.4,69.6,0.2,2.3,1.8,13.6,86.4,40.93,51.83,727,1061,975,9958
Santa Ana Unified (Orange),Orange,Unified School District,53131,0.2,2.7,0.3,0.3,92.9,0.1,0.8,0.1,2.6,97.4,23.97,29.84,1057,1884,166,10923
Santa Barbara County Office of Education (Santa Barbara),Santa Barbara,County Office of Education (COE),264,0.4,1.1,1.5,0.8,77.3,0,1.5,0,17.4,82.6,6.49,7.79,N/A,N/A,N/A,N/A
Santa Barbara Unified (Santa Barbara),Santa Barbara,Unified School District,15042,0.4,3.2,1,0.6,59.4,0.1,1.2,0.5,33.6,66.4,43.34,54.92,524,1033,952,10237
Santa Clara County Office of Education (Santa Clara),Santa Clara,County Office of Education (COE),11645,0.3,17.9,2.8,1.9,59.4,0.4,3.8,1.4,12,88,2.22,6.67,N/A,N/A,N/A,N/A
Santa Clara Elementary (Ventura),Ventura,Elementary School District,58,0,1.7,0,0,50,0,10.3,0,37.9,62.1,54.84,70.97,486,1468,945,8878
Santa Clara Unified (Santa Clara),Santa Clara,Unified School District,15509,0.5,29,2.7,6.8,34.5,0.6,4.9,0.5,20.4,79.6,50.65,58.47,405,1420,1853,14086
Santa Cruz City Elementary (Santa Cruz),Santa Cruz,Elementary School District,2096,0.1,3,2,0.2,37.3,0.2,6.2,0,50.9,49.1,41.67,50.41,N/A,N/A,N/A,N/A
Santa Cruz City Elementary/High (Santa Cruz),Santa Cruz,Common Administration District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,593,986,1577,9823
Santa Cruz City High (Santa Cruz),Santa Cruz,High School District,4637,0.4,2.6,1.4,0.9,38.4,0.3,5.1,0.1,50.8,49.2,41.34,59.75,N/A,N/A,N/A,N/A
Santa Cruz County Office of Education (Santa Cruz),Santa Cruz,County Office of Education (COE),1378,0.1,2.2,0.6,0.5,37,0,5.6,2.5,51.5,48.5,48.96,63.55,N/A,N/A,N/A,N/A
Santa Maria Joint Union High (Santa Barbara),Santa Barbara,High School District,7949,0.3,1.2,0.7,1.9,84.9,0.1,1.1,0.6,9.1,90.9,19.36,43.97,507,1214,518,11137
Santa Maria-Bonita (Santa Barbara),Santa Barbara,Elementary School District,17122,0.1,0.5,0.4,1.5,94.3,0,0.3,0,2.9,97.1,22.91,31.22,860,958,436,10318
Santa Monica-Malibu Unified (Los Angeles),Los Angeles,Unified School District,10806,0.2,6,6.6,0.6,29.4,0.2,6.2,0.5,50.4,49.6,61.25,74.53,425,946,5152,9942
Santa Paula Unified (Ventura),Ventura,Unified School District,5306,0.1,0.2,0.1,0,96.2,0.1,0.2,0,3.1,96.9,24.13,31.1,716,1303,747,10828
