Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
94,Terry Furlow,SG,25,ATL,21,,19.2,3.1,7.7,0.41,0,0.4,0.111,3.1,7.2,0.428,0.413,2.1,2.4,0.863,1.1,0.9,2,3.4,0.9,0.4,1.6,0.9,8.4
94,Terry Furlow,SG,25,UTA,55,,31.2,6.6,13.9,0.476,0.4,1.3,0.315,6.2,12.6,0.493,0.491,2.3,2.6,0.876,0.9,1.9,2.8,4,1,0.3,2.3,1.4,16
95,Mike Gale,PG,29,SAS,67,,22,2.6,5.6,0.454,0,0.2,0.154,2.5,5.4,0.464,0.456,1.4,1.8,0.808,0.5,1.8,2.3,4.7,1.8,0.2,1.7,2,6.6
96,Gary Garland,PG,22,DEN,78,,14.2,2,4.6,0.435,0.1,0.2,0.316,1.9,4.3,0.442,0.444,0.2,0.3,0.692,0.6,1.1,1.8,1.9,0.7,0.1,0.9,1,4.3
97,Gus Gerard,SF,26,KCK,73,,11.9,2.2,4.8,0.457,0,0,0.333,2.2,4.7,0.458,0.458,0.9,1.4,0.66,1.1,1.4,2.4,0.6,0.6,0.4,0.7,1.3,5.3
98,George Gervin*,SG,27,SAS,78,,37.6,13.1,24.9,0.528,0.4,1.3,0.314,12.7,23.6,0.54,0.536,6.5,7.6,0.852,2,3.2,5.2,2.6,1.4,1,3.3,2.7,33.1
99,John Gianelli,C,29,UTA,17,,16.8,1.4,3.9,0.348,0,0,,1.4,3.9,0.348,0.348,0.5,0.9,0.563,0.8,2.8,3.6,1,0.4,0.4,1.3,1.5,3.2
100,Artis Gilmore*,C,30,CHI,48,,32.7,6.4,10.7,0.595,0,0,,6.4,10.7,0.595,0.595,5.1,7.2,0.712,2.3,6.8,9,2.8,0.6,1.2,2.8,3.5,17.8
101,Jack Givens,SF,23,ATL,82,,15.3,2.2,5.8,0.385,0,0,0,2.2,5.7,0.386,0.385,1.3,1.6,0.828,1.4,1.6,3,0.7,0.6,0.2,0.7,1.6,5.7
102,Mike Glenn,SG,24,NYK,75,,10.7,2.5,4.9,0.516,0,0.1,0.2,2.5,4.7,0.525,0.519,0.8,1,0.863,0.3,0.6,0.9,1.1,0.5,0.1,0.5,1.1,5.9
103,Glen Gondrezick,SF,24,DEN,59,,17.3,2.5,4.8,0.517,0,0.1,0.333,2.5,4.7,0.521,0.521,1.6,2.1,0.76,1.8,2.6,4.4,1.4,1.2,0.3,1,2,6.6
104,Mike Green,C,28,KCK,21,,21.9,3.3,7.6,0.434,0,0.1,0,3.3,7.5,0.439,0.434,1.1,2,0.571,1.7,3.7,5.4,1.3,0.6,1,1.7,2.6,7.7
105,Dave Greenwood,PF,22,CHI,82,,34,6.1,12.8,0.474,0,0.1,0.143,6.1,12.7,0.476,0.474,4.1,5.1,0.81,2.7,6.7,9.4,2.2,0.7,1.6,2.6,3.8,16.3
106,Kevin Grevey,SF,26,WSB,65,,28,5.1,12.4,0.412,0.5,1.4,0.37,4.6,11,0.417,0.433,3.3,3.8,0.867,1.2,1.6,2.9,2.7,0.9,0.2,1.6,2.4,14
107,Paul Griffin,C,26,SAS,82,,22.1,2.1,3.8,0.553,0,0,,2.1,3.8,0.553,0.553,2.1,2.9,0.725,1.9,3.5,5.3,3,1,0.6,1.6,3.7,6.3
108,Bob Gross,SF,26,POR,62,,25.5,3.6,7.6,0.468,0,0.2,0.1,3.5,7.5,0.476,0.469,1.5,1.8,0.833,1.4,2.7,4,3.7,1,0.8,2.7,2.9,8.7
109,Ernie Grunfeld,SF,24,KCK,80,,17.5,2.3,5.3,0.443,0,0,0.5,2.3,5.2,0.443,0.444,1.3,1.6,0.771,1.1,1.8,2.9,1.4,0.7,0.1,1,1.9,5.9
110,Roy Hamilton,PG,22,DET,72,,15.5,1.6,4,0.401,0,0,0,1.6,4,0.404,0.401,1.4,2.1,0.687,0.6,0.9,1.5,2.7,0.7,0.1,1.6,1.1,4.6
111,James Hardy,PF,23,UTA,76,,21.1,2.4,4.8,0.507,0,0,0.5,2.4,4.8,0.507,0.508,0.7,0.9,0.773,1.6,3.6,5.3,1.4,0.6,1.1,1.4,2.7,5.5
112,Joe Hassett,SG,24,IND,74,,15.3,2.9,6.9,0.422,0.9,2.7,0.348,2,4.2,0.469,0.49,0.3,0.4,0.828,0.5,0.8,1.3,1.4,0.6,0.1,0.6,1.1,7.1
113,Steve Hawes,PF,29,ATL,82,,22.6,3.7,7.4,0.502,0,0.1,0.375,3.7,7.3,0.504,0.505,1.8,2.2,0.824,1.8,4.2,6,1.8,0.9,0.4,1.5,2.5,9.3
114,Elvin Hayes*,PF,34,WSB,81,,39.3,9.4,20.7,0.454,0,0.2,0.231,9.4,20.5,0.456,0.455,4.1,5.9,0.699,3.3,7.7,11.1,1.6,0.8,2.3,2.7,3.8,23
115,Spencer Haywood*,PF,30,LAL,76,,20.3,3.8,7.8,0.487,0,0.1,0.25,3.8,7.7,0.489,0.488,2.1,2.7,0.772,1.7,2.8,4.6,1.2,0.5,0.8,1.8,2.6,9.7
116,Gar Heard,PF,31,PHO,82,,17.1,2.1,5,0.417,0,0,0,2.1,5,0.419,0.417,0.8,1,0.744,1.4,3.2,4.6,1.2,1,0.6,1.1,2.2,5
117,Gerald Henderson,PG,24,BOS,76,2,14,2.5,5,0.5,0,0.1,0.333,2.5,4.9,0.503,0.503,1.2,1.7,0.69,0.5,0.6,1.1,1.9,0.6,0.2,1.4,1.3,6.2
118,Tom Henderson,PG,28,HOU,66,,23.5,2.3,4.9,0.477,0,0,0,2.3,4.9,0.48,0.477,0.8,1.2,0.727,0.5,1.2,1.7,4.2,0.8,0.1,1.5,1.6,5.5
119,Johnny High,PG,22,PHO,82,,13.7,1.8,3.9,0.446,0,0.1,0.143,1.7,3.9,0.453,0.447,1.5,2.2,0.674,0.8,1.3,2.1,1.5,0.9,0.2,1.5,2.1,5
120,Armond Hill,PG,26,ATL,79,,26.5,2.2,5.5,0.411,0,0.1,0.25,2.2,5.4,0.412,0.412,1.6,1.8,0.849,0.4,1.4,1.7,5.4,1.4,0.1,2.2,3.3,6.1
121,Darnell Hillman,PF,30,GSW,49,,14.4,1.7,3.7,0.458,0,0,,1.7,3.7,0.458,0.458,0.7,1.4,0.5,1.2,2.5,3.7,1,0.4,0.5,1.2,2.6,4
122,Brad Holland,SG,23,LAL,38,,5.2,1.2,2.7,0.423,0.1,0.4,0.2,1.1,2.3,0.461,0.438,0.4,0.4,0.938,0.1,0.3,0.4,0.6,0.4,0,0.3,0.6,2.8
