,GAME,FGM,FGA,FG%,FTM,FTA,FT%,3FGM,3FGA,3FG%,PTS,TEAM
1,4/7,51,102,50.0,23,29,79.3,11,22,50.0,136,Philadelphia 76ers
2,4/6,39,76,51.3,13,15,86.7,10,36,27.8,101,Philadelphia 76ers
3,4/4,39,78,50.0,14,16,87.5,11,29,37.9,103,Philadelphia 76ers
4,4/2,40,87,46.0,12,13,92.3,12,36,33.3,104,Philadelphia 76ers
5,3/31,41,73,56.2,23,25,92.0,12,31,38.7,117,Philadelphia 76ers
6,3/29,37,80,46.3,25,30,83.3,17,36,47.2,116,Philadelphia 76ers
7,3/27,43,89,48.3,17,22,77.3,8,30,26.7,111,Philadelphia 76ers
8,3/25,34,78,43.6,24,27,88.9,13,31,41.9,105,Philadelphia 76ers
9,3/24,38,78,48.7,28,34,82.4,8,29,27.6,112,Philadelphia 76ers
10,3/22,39,82,47.6,22,26,84.6,16,37,43.2,116,Philadelphia 76ers
11,3/20,38,90,42.2,19,22,86.4,10,36,27.8,105,Philadelphia 76ers
12,3/18,54,88,61.4,18,22,81.8,15,35,42.9,141,Philadelphia 76ers
13,3/17,46,92,50.0,19,25,76.0,10,32,31.3,121,Philadelphia 76ers
14,3/15,39,75,52.0,23,27,85.2,17,36,47.2,118,Philadelphia 76ers
15,3/12,41,80,51.2,19,23,82.6,11,29,37.9,112,Philadelphia 76ers
16,3/10,43,83,51.8,23,29,79.3,11,30,36.7,120,Philadelphia 76ers
17,3/7,40,81,49.4,22,23,95.7,15,25,60.0,117,Philadelphia 76ers
18,3/6,48,82,58.5,35,38,92.1,16,34,47.1,147,Philadelphia 76ers
19,3/4,42,84,50.0,31,37,83.8,18,37,48.6,133,Philadelphia 76ers
20,3/2,45,78,57.7,24,29,82.8,12,27,44.4,126,Philadelphia 76ers
21,3/1,41,83,49.4,22,22,100.0,15,39,38.5,119,Philadelphia 76ers
22,2/27,32,73,43.8,25,28,89.3,10,27,37.0,99,Philadelphia 76ers
23,2/25,35,78,44.9,28,35,80.0,9,27,33.3,107,Philadelphia 76ers
24,2/23,34,84,40.5,29,36,80.6,13,36,36.1,110,Philadelphia 76ers
25,2/15,39,78,50.0,27,29,93.1,13,27,48.1,118,Philadelphia 76ers
26,2/13,46,82,56.1,16,17,94.1,15,34,44.1,123,Philadelphia 76ers
27,2/11,33,75,44.0,29,30,96.7,6,23,26.1,101,Philadelphia 76ers
28,2/10,44,84,52.4,17,22,77.3,14,38,36.8,119,Philadelphia 76ers
29,2/8,37,83,44.6,15,20,75.0,10,31,32.3,99,Philadelphia 76ers
30,2/5,30,74,40.5,30,36,83.3,7,25,28.0,97,Philadelphia 76ers
31,2/3,46,87,52.9,32,41,78.0,13,27,48.1,137,Philadelphia 76ers
32,2/1,34,78,43.6,23,26,88.5,14,35,40.0,105,Philadelphia 76ers
33,1/30,40,85,47.1,18,23,78.3,11,30,36.7,109,Philadelphia 76ers
34,1/28,46,89,51.7,16,24,66.7,18,35,51.4,126,Philadelphia 76ers
35,1/25,42,82,51.2,35,36,97.2,18,38,47.4,137,Philadelphia 76ers
36,1/21,49,93,52.7,19,23,82.6,12,28,42.9,129,Philadelphia 76ers
37,1/19,41,81,50.6,15,19,78.9,8,26,30.8,105,Philadelphia 76ers
38,1/17,39,73,53.4,29,34,85.3,13,31,41.9,120,Philadelphia 76ers
39,1/15,43,85,50.6,15,19,78.9,12,34,35.3,113,Philadelphia 76ers
40,1/14,40,89,44.9,21,26,80.8,17,39,43.6,118,Philadelphia 76ers
41,1/12,39,88,44.3,25,27,92.6,11,36,30.6,114,Philadelphia 76ers
42,1/10,54,89,60.7,28,30,93.3,11,31,35.5,147,Philadelphia 76ers
43,1/8,46,94,48.9,20,23,87.0,11,37,29.7,123,Philadelphia 76ers
44,1/6,40,92,43.5,14,18,77.8,18,41,43.9,112,Philadelphia 76ers
