PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FGP,TPM,3PA,TPP,FTM,FTA,FTP,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PM,OFFRTG,DEFRTG,NETRTG,ASTP,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOR,EFGP,TSP,USGP,PACE,PIE,ALLSTAR
NATISHA HIEDEMAN,CON,22,4,2,2,8.7,2.5,1,2,50,0.5,1,50,0,0,0,0.5,0.8,1.3,1,1.5,0.3,0,0.5,4.8,0,0,-0.5,85.7,87.3,-1.6,22.2,0.67,22.2,6.5,8.8,7.7,33.3,62.5,62.5,17.3,97.16,8.6,NON-ALLSTAR
NATASHA HOWARD,SEA,27,18,10,8,31.1,17.4,6.6,15.4,42.8,0.7,2.7,27.1,3.4,4.3,80.5,2.7,5.4,8.2,1.9,2.8,2,1.4,3.1,37.6,4,0,6.3,99.5,88.7,10.9,11.8,0.68,8.6,8.5,18,13.1,12.6,45.1,50.2,28.2,94.35,14.6,ALLSTAR
NATASHA CLOUD,WAS,27,15,9,6,32.2,9.8,3.4,9.1,37.2,1.3,4.6,29,1.7,2.1,80.6,0.1,2.7,2.8,5.4,1.2,1.1,0.3,1.7,24.3,0,0,4.6,104.8,97.9,6.9,24.6,4.5,32.4,0.4,8.3,4.3,7.2,44.5,48.8,15.3,94.74,9.1,NON-ALLSTAR
NATALIE ACHONWA,IND,26,16,5,11,22.2,10,3.8,6.9,55.5,0,0.3,0,2.4,2.6,90.5,1.4,3.6,4.9,1.4,0.8,0.6,0.9,2.6,22,2,0,-0.7,95,96.2,-1.2,11.7,1.77,14.3,6.2,15.2,10.8,8.1,55.5,62.3,17.3,95.13,14.9,NON-ALLSTAR
NAPHEESA COLLIER,MIN,22,17,10,7,32.7,11.3,4.1,9,45.1,0.9,2.5,35.7,2.3,2.9,79.6,1.7,4.4,6.1,2.2,1.9,2,0.9,3.2,28.7,1,0,3.5,98.3,91.5,6.7,11.1,1.12,15.1,5.3,13.1,9.2,13.5,50,55,16.4,94.24,10.9,NON-ALLSTAR
MYISHA HINES-ALLEN,WAS,23,13,8,5,8.7,1.9,0.8,2.5,34.4,0.1,0.4,20,0.2,0.5,33.3,0.8,1.6,2.4,0.8,0.8,0.5,0.6,1.3,8.4,0,0,-1.1,95.4,102.1,-6.7,14.9,1,19.3,9.2,18.1,13.8,19.3,35.9,36.1,17,100.8,4.9,NON-ALLSTAR
MORGAN TUCK,CON,25,16,11,5,9.4,3,1.1,3,35.4,0.4,0.9,40,0.5,0.9,57.1,0.4,1,1.4,0.7,0.9,0.3,0.2,1.1,6.4,0,0,-0.1,94.6,91.4,3.2,11.7,0.79,13.9,4.7,9.8,7.3,17.7,41.7,44.3,18.6,101.28,3.8,NON-ALLSTAR
MONIQUE BILLINGS,ATL,23,15,5,10,18.6,5.6,1.9,4.5,41.2,0,0,0,1.9,2.3,80,2.7,4.3,7,0.7,1.7,0.4,0.3,2.3,15.5,1,0,-0.1,93.1,93.8,-0.7,6.5,0.38,8.3,13,20.3,16.7,21.7,41.2,50.4,16.9,91.52,11.7,NON-ALLSTAR
MERCEDES RUSSELL,SEA,23,18,10,8,25.4,7.7,3.2,5.6,57.4,0,0,0,1.2,1.7,71,2.4,3.8,6.3,0.6,0.8,0.9,0.4,2.1,19.5,1,0,3.9,97.5,90,7.5,4.1,0.73,7.8,9.6,16.3,12.8,10.6,57.4,60.2,12.6,92.58,12,NON-ALLSTAR
MEGAN GUSTAFSON,DAL,22,8,3,5,8.7,3.6,1.4,2.4,57.9,0,0.1,0,0.9,1,87.5,0.8,1.8,2.5,0.5,0.3,0.3,0,0.4,7.9,0,0,-0.5,91.6,91.8,-0.2,10.5,2,14.3,8.7,20.3,14.5,7.1,57.9,64.4,14.8,99.45,16.7,NON-ALLSTAR
MARINE JOHANNES,NYL,24,2,0,2,15,8.5,3,5,60,1.5,3,50,1,1,100,0,0.5,0.5,2.5,1,0.5,0,0.5,13.4,0,0,13.5,123.8,83.6,40.2,25,2.5,27.8,0,3.8,1.9,11.1,75,78.1,17.1,99.2,15.9,NON-ALLSTAR
MARINA MABREY,LAS,22,16,9,7,14.2,4.8,1.7,5.3,32.1,0.8,3.3,25,0.6,0.6,90,0.4,1.2,1.6,1.4,0.9,0.8,0.4,1,11.3,0,0,-0.6,94.5,95.8,-1.3,16.1,1.64,18.4,2.3,8,5.1,11.2,39.9,43,17.9,101.14,6.8,NON-ALLSTAR
MARIE GÜLICH,ATL,25,15,4,11,10.6,3.1,1.1,3.4,33.3,0.1,0.4,16.7,0.7,0.9,84.6,1.1,1.3,2.3,0.3,0.9,0.1,0.9,1.7,8.3,0,0,-2.9,80.3,93.5,-13.1,5.1,0.29,5.4,8.3,11.6,9.8,18.9,34.3,40.6,17.8,96.78,3.1,NON-ALLSTAR
MARIA VADEEVA,LAS,20,1,0,1,24.2,24,11,20,55,2,4,50,0,1,0,1,4,5,1,3,2,3,3,43.5,0,0,7,100,86.3,13.7,11.1,0.33,4.2,3.6,14.3,8.9,12.5,60,58.7,37.7,101.13,23.4,NON-ALLSTAR
MAITE CAZORLA,ATL,22,13,4,9,15.1,3.3,1.2,2.8,43.2,0.5,1.6,33.3,0.3,0.4,80,0.2,0.5,0.7,1.7,0.9,0.7,0,1,7.8,0,0,0.2,92.5,91.1,1.5,18.5,1.83,30.1,0.9,3.3,2.1,16.4,52.7,54.8,10.9,95.46,6.5,NON-ALLSTAR
LIZ CAMBAGE,LVA,27,15,10,5,24,15.5,5.8,11.5,50.3,0.1,0.6,22.2,3.7,4.7,80,1.7,5.9,7.6,2.3,1.7,0.6,1.3,2.2,32.1,3,0,7.1,100.7,87.4,13.3,16.7,1.36,12.9,7.4,21.5,15,9.5,50.9,56.9,26.8,101.65,18,ALLSTAR
LEXIE BROWN,MIN,24,17,10,7,19.1,7.1,2.4,6.1,38.8,1.4,3.6,38.7,1,1.2,81,0.2,1.1,1.3,1.3,1.4,0.8,0.1,1.3,11.8,0,0,-0.6,92.6,93,-0.4,11.8,0.92,13.9,0.9,5.9,3.4,15.2,50.5,53.9,18,96.4,7,NON-ALLSTAR
LEILANI MITCHELL,PHO,34,13,6,7,29,10.8,3.8,9.2,41.7,2.2,5.5,40.3,0.8,1.2,73.3,0.2,3,3.2,4.2,1.3,0.8,0.3,2.2,22.8,1,0,1.1,96.3,95,1.3,26.3,3.18,27.4,0.8,9.6,5.4,8.6,53.8,55.3,17.7,92.5,11.3,NON-ALLSTAR
LAYSHIA CLARENDON,CON,28,9,8,1,15.3,6.2,2,4.8,41.9,0.2,0.2,100,2,2.3,85.7,0.8,1.7,2.4,2.1,0.9,0.3,0,0.8,12.4,0,0,-0.2,92.2,93.6,-1.4,25,2.38,23.8,4.5,10.1,7.2,10,44.2,53.6,17.5,98.04,14.8,NON-ALLSTAR
LATOYA SANDERS,WAS,32,15,9,6,25.5,5.3,2.1,4.9,43.8,0,0,0,1,1.1,88.2,1.4,4.1,5.5,1.9,0.7,1,1.5,2,21.4,1,0,6,106,94,12,10.9,2.55,23.3,5.5,16,10.8,9.2,43.8,49.1,10.7,94.28,9.3,NON-ALLSTAR
KRISTINE ANIGWE,CON,22,12,7,5,8,2.1,0.8,2.4,31,0,0,0,0.6,0.8,77.8,0.8,1.2,1.9,0.3,0.8,0.4,0.3,1.3,6.2,0,0,-2.2,84.9,92.6,-7.8,5.5,0.3,6.5,8.7,15.1,11.7,21.7,31,37.9,18.4,98.5,2.3,NON-ALLSTAR
KRISTI TOLIVER,WAS,32,15,9,6,27.9,12.1,4.8,9.7,49.7,1.5,4.1,35.5,1.1,1.2,88.9,0.4,2.5,2.9,5.7,2.2,1.3,0.1,1.3,26,0,0,6.9,111,98.6,12.4,31.8,2.58,31.5,1.5,8.9,5.3,12.2,57.2,59.5,19.8,93.57,13.3,ALLSTAR
KIM MESTDAGH,WAS,29,3,2,1,5.5,3,1,2.3,42.9,1,1.7,60,0,0,0,0,0,0,0.3,0.7,0,0,0.3,2.8,0,0,-4,97.1,127.8,-30.6,10,0.5,10,0,0,0,20,64.3,64.3,21.4,103.7,4.7,NON-ALLSTAR
KIA NURSE,NYL,23,17,7,10,32.5,16.3,5.1,12.1,42,2.2,6.1,36.5,3.9,4.3,91.8,0.7,2,2.7,2,1.8,1,0.2,1.8,24.5,0,0,-4.4,94.8,101.1,-6.3,10.9,1.13,11.3,2,5.8,3.8,9.9,51.2,58.4,20.3,98.83,10.6,ALLSTAR
KENNEDY BURKE,IND,22,15,4,11,10.8,4.3,1.4,3.3,42,0.5,1.3,40,0.9,1.4,66.7,0.5,0.5,0.9,0.4,0.6,0.5,0.1,1,7.2,0,0,-2.4,96.6,105.7,-9,6.2,0.67,8,3.9,4.2,4,12,50,54,17.9,97.7,5.3,NON-ALLSTAR
KENISHA BELL,MIN,23,3,2,1,3.6,0,0,0.3,0,0,0.3,0,0,0,0,0,0.3,0.3,0.3,0.3,0,0,0.3,0.6,0,0,-1.3,47.4,65,-17.6,25,1,33.3,0,6.3,3.4,33.3,0,0,9.5,85.88,-10.5,NON-ALLSTAR
KELSEY PLUM,LVA,24,16,11,5,25.5,7.4,2.8,8.1,34.9,1.3,3.9,33.9,0.5,0.6,88.9,0.4,2.7,3.1,3,1.7,1.1,0.1,2.1,17.6,0,0,3.9,97.3,90,7.3,17.1,1.78,23.1,1.7,8.8,5.5,13,43,44.8,16.4,101.66,6,NON-ALLSTAR
KELSEY MITCHELL,IND,23,18,6,12,27.4,14,5.2,14.2,36.5,2.2,6.3,34.5,1.5,1.7,87.1,0.2,1.4,1.6,2.4,1.2,0.4,0.1,1.8,19.9,0,0,-1.9,98,102.2,-4.1,16.1,2,13.2,0.6,5.1,2.8,6.6,44.1,46.9,25.7,94.22,7.2,ALLSTAR
