name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Andrew Wiggins","Minnesota Timberwolves",2015-01-23,2014,3059319,1610612750,400578939,2,4,23,0,"Driving Jump shot","2PT Field Goal",5,"New Orleans Pelicans",-48,14,1,1.30,"Asik, Omer",0.30,18.30
"Andrew Wiggins","Minnesota Timberwolves",2015-01-25,2014,3059319,1610612750,400578953,1,2,01,0,"Driving Jump shot","2PT Field Goal",5,"Atlanta Hawks",17,52,7,6.00,"Scott, Mike",2.40,3.30
"Andrew Wiggins","Minnesota Timberwolves",2015-01-19,2014,3059319,1610612750,400578903,2,6,08,0,"Driving Jump shot","2PT Field Goal",4,"Charlotte Hornets",13,48,1,1.90,"Biyombo, Bismack",1.80,17.50
"Andrew Wiggins","Minnesota Timberwolves",2016-11-05,2016,3059319,1610612750,400899529,3,11,45,0,"Driving Layup Shot","2PT Field Goal",4,"Oklahoma City Thunder",-40,10,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-01-18,2017,3059319,1610612750,400975411,1,4,23,0,"Driving Layup Shot","2PT Field Goal",10,"Houston Rockets",-70,83,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-01-16,2017,3059319,1610612750,400975395,2,4,23,1,"Driving Layup Shot","2PT Field Goal",4,"Orlando Magic",42,21,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-01-05,2017,3059319,1610612750,400975316,1,0,06,0,"Driving Layup Shot","2PT Field Goal",6,"Boston Celtics",58,39,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-12-12,2017,3059319,1610612750,400975152,3,10,56,0,"Driving Layup Shot","2PT Field Goal",5,"Philadelphia 76ers",50,29,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-12-03,2017,3059319,1610612750,400975087,1,2,24,0,"Driving Layup Shot","2PT Field Goal",4,"Los Angeles Clippers",22,38,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-03-18,2017,3059319,1610612750,400975794,3,2,44,0,"Driving Layup Shot","2PT Field Goal",5,"Houston Rockets",-17,55,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-03-18,2017,3059319,1610612750,400975794,3,1,31,0,"Driving Layup Shot","2PT Field Goal",4,"Houston Rockets",32,25,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2015-03-04,2014,3059319,1610612750,400579194,1,6,54,1,"Driving Layup Shot","2PT Field Goal",4,"Denver Nuggets",47,1,0,3.80,"Chandler, Wilson",0.70,10.40
"Andrew Wiggins","Minnesota Timberwolves",2018-01-29,2017,3059319,1610612750,400975485,3,10,16,0,"Driving Layup Shot","2PT Field Goal",8,"Atlanta Hawks",28,84,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-02-26,2017,3059319,1610612750,400975652,2,1,33,0,"Driving Layup Shot","2PT Field Goal",7,"Sacramento Kings",-12,70,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-02-11,2017,3059319,1610612750,400975584,2,0,36,1,"Driving Layup Shot","2PT Field Goal",6,"Sacramento Kings",6,61,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-11-11,2017,3059319,1610612750,400974937,2,5,40,0,"Driving Layup Shot","2PT Field Goal",5,"Phoenix Suns",-9,50,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-03-28,2017,3059319,1610612750,400975866,1,7,11,1,"Driving Layup Shot","2PT Field Goal",6,"Atlanta Hawks",3,65,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-11-13,2017,3059319,1610612750,400974948,1,6,28,0,"Fadeaway Jump Shot","2PT Field Goal",10,"Utah Jazz",-80,72,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-03-24,2016,3059319,1610612750,400900475,1,0,30,1,"Fadeaway Jump Shot","2PT Field Goal",10,"Los Angeles Lakers",16,104,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2016-12-17,2016,3059319,1610612750,400899845,1,6,53,1,"Fadeaway Jump Shot","2PT Field Goal",12,"Houston Rockets",-7,124,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-01-15,2016,3059319,1610612750,400900029,1,3,20,1,"Fadeaway Jump Shot","2PT Field Goal",10,"Dallas Mavericks",76,65,0,0.00,,0.00,0.00
